"";"Price";"Year";"Make";"Model";"Mileage";"Engine";"AutoTraderPage"
"1";119900;2008;"AUDI";"A4";126798;2;1
"2";299000;2012;"AUDI";"Q5";77243;2;1
"3";299995;2014;"AUDI";"A3";27000;1,4;1
"4";114995;2005;"AUDI";"A4";90899;3;1
"5";329000;2013;"AUDI";"TT";7500;1,8;1
"6";179950;2013;"AUDI";"A1";69500;1,2;1
"7";104900;2008;"AUDI";"A4";165378;2;1
"8";389500;2012;"AUDI";"Q7";88000;3;1
"9";295000;2013;"AUDI";"A3";27000;1,8;1
"10";359900;2011;"AUDI";"Q7";146000;4,2;1
"11";110000;2011;"AUDI";"A5";NA;2;1
"12";119900;2008;"AUDI";"A4";126798;2;2
"13";179900;2011;"AUDI";"A3";95000;NA;2
"14";287500;2014;"AUDI";"A3";7000;NA;2
"15";329000;2015;"AUDI";"A3";2000;NA;2
"16";385000;2015;"AUDI";"A4";2000;NA;2
"17";465000;2015;"AUDI";"A3";9800;NA;2
"18";675000;2015;"AUDI";"TT";4000;NA;2
"19";529900;2015;"AUDI";"A3";1100;1,8;2
"20";589900;2015;"AUDI";"A6";6500;0,2;2
"21";379900;2011;"AUDI";"Q7";112000;4,2;2
"22";359999;2012;"AUDI";"A5";64614;NA;2
"23";119900;2008;"AUDI";"A4";126798;2;3
"24";699900;2015;"AUDI";"Q5";13000;NA;3
"25";439000;2014;"AUDI";"A4";7200;NA;3
"26";184999;2011;"AUDI";"A1";59632;NA;3
"27";255000;2010;"AUDI";"A5";73000;2;3
"28";295000;2013;"AUDI";"A3";31000;NA;3
"29";99900;2006;"AUDI";"A4";140700;2;3
"30";129900;2008;"AUDI";"A4";101600;1,8;3
"31";159900;2012;"AUDI";"A4";202400;1,8;3
"32";75000;2004;"AUDI";"A4";252500;1,8;3
"33";189000;2010;"AUDI";"A3";82080;NA;3
"34";119900;2008;"AUDI";"A4";126798;2;4
"35";159900;2012;"AUDI";"A3";120100;1,4;4
"36";379000;2011;"AUDI";"Q7";98000;3;4
"37";35800;1999;"AUDI";"A6";166762;2,8;4
"38";149950;2010;"AUDI";"A4";128636;1,8;4
"39";325000;2012;"AUDI";"TT";28000;NA;4
"40";229000;2013;"AUDI";"A1";75000;1,4;4
"41";119000;2008;"AUDI";"A4";172000;NA;4
"42";249000;2009;"AUDI";"TT";23000;NA;4
"43";364900;2012;"AUDI";"Q3";54812;2;4
"44";139900;2006;"AUDI";"A3";103800;2;4
"45";119900;2008;"AUDI";"A4";126798;2;5
"46";569995;2015;"AUDI";"Q5";2000;2;5
"47";279900;2015;"AUDI";"A1";NA;1;5
"48";329899;2015;"AUDI";"A4";NA;1,8;5
"49";349899;2015;"AUDI";"A4";NA;1,8;5
"50";189899;2010;"AUDI";"A4";63343;2;5
"51";189000;2011;"AUDI";"A4";97000;2;5
"52";289990;2009;"AUDI";"A5";101000;NA;5
"53";387594;2015;"AUDI";"A3";2000;NA;5
"54";455994;2015;"AUDI";"A3";2000;NA;5
"55";683994;2015;"AUDI";"A6";3500;NA;5
"56";119900;2008;"AUDI";"A4";126798;2;6
"57";98500;2010;"AUDI";"A3";115000;NA;6
"58";165000;2010;"AUDI";"A4";113479;2;6
"59";309995;2014;"AUDI";"A3";25000;1,4;6
"60";319995;2014;"AUDI";"A3";25000;1,4;6
"61";409995;2014;"AUDI";"A3";9500;1,4;6
"62";249900;2012;"AUDI";"A4";70000;1,8;6
"63";129900;2009;"AUDI";"A4";218000;2;6
"64";159900;2009;"AUDI";"A4";109000;2;6
"65";189900;2012;"AUDI";"A3";61000;1,8;6
"66";148900;2010;"AUDI";"A4";150000;1,8;6
"67";119900;2008;"AUDI";"A4";126798;2;7
"68";359990;2015;"AUDI";"A3";11000;1,6;7
"69";499990;2014;"AUDI";"A5";8900;2;7
"70";619990;2015;"AUDI";"TT";6800;2;7
"71";149990;2010;"AUDI";"A4";108000;1,8;7
"72";204950;2013;"AUDI";"A4";92000;1,8;7
"73";179000;2011;"AUDI";"A3";77000;NA;7
"74";189000;2011;"AUDI";"A1";38000;NA;7
"75";209950;2012;"AUDI";"A4";87000;2;7
"76";259000;2015;"AUDI";"A1";5000;1;7
"77";59950;2003;"AUDI";"A3";243000;1,8;7
"78";119900;2008;"AUDI";"A4";126798;2;8
"79";239990;2009;"AUDI";"Q5";116700;2;8
"80";64900;2004;"AUDI";"A3";141000;NA;8
"81";189900;2009;"AUDI";"A4";89000;2;8
"82";385000;2012;"AUDI";"A5";52000;2;8
"83";399999;NA;"Add";"to";NA;NA;8
"84";347000;NA;"Air";"conditioning,";NA;NA;8
"85";105000;2006;"AUDI";"A3";151000;NA;8
"86";389995;2015;"AUDI";"A3";5;1,8;8
"87";379900;2012;"AUDI";"S3";47000;2;8
"88";149900;2010;"AUDI";"A4";105000;1,8;8
"89";119900;2008;"AUDI";"A4";126798;2;9
"90";59900;2004;"AUDI";"A4";290000;1,9;9
"91";305000;2012;"AUDI";"A5";55700;NA;9
"92";179800;2011;"AUDI";"A3";98281;1,4;9
"93";249800;2009;"AUDI";"S3";132059;2;9
"94";299950;2010;"AUDI";"A5";152000;3;9
"95";234900;2012;"AUDI";"A4";78000;NA;9
"96";299950;2010;"AUDI";"A5";68000;3;9
"97";189900;2012;"AUDI";"A3";72000;1,4;9
"98";199995;2011;"AUDI";"A6";112000;2;9
"99";339000;2015;"AUDI";"A4";7989;1,8;9
"100";119900;2008;"AUDI";"A4";126798;2;10
"101";204900;2013;"AUDI";"A1";34000;1,4;10
"102";189990;2011;"AUDI";"A3";89000;1,6;10
"103";105000;2008;"AUDI";"A4";141000;NA;10
"104";320000;2011;"AUDI";"Q5";63000;NA;10
"105";399900;2013;"AUDI";"A5";55021;2;10
"106";329000;2015;"AUDI";"A4";11866;1,8;10
"107";339900;2015;"AUDI";"A4";7989;1,8;10
"108";229900;2014;"AUDI";"A1";15000;1,2;10
"109";403460;2015;"AUDI";"A3";11098;1,4;10
"110";35000;1996;"AUDI";"A4";NA;1,8;10
"111";119900;2008;"AUDI";"A4";126798;2;11
"112";329900;2015;"AUDI";"A4";11866;1,8;11
"113";469995;2015;"AUDI";"A5";17000;2;11
"114";369995;2015;"AUDI";"A4";11000;2;11
"115";355000;2015;"AUDI";"A3";5000;NA;11
"116";359995;2014;"AUDI";"A4";18000;2;11
"117";319995;2014;"AUDI";"A4";18500;1,8;11
"118";359000;2015;"AUDI";"A3";8000;NA;11
"119";329995;2014;"AUDI";"A4";41000;1,8;11
"120";339995;2014;"AUDI";"A4";22000;1,8;11
"121";279995;2014;"AUDI";"A3";24000;NA;11
"122";119900;2008;"AUDI";"A4";126798;2;12
"123";339995;2014;"AUDI";"A3";25000;1,4;12
