"";"Price";"Year";"Make";"Model";"Mileage";"Engine";"AutoTraderPage"
"1";369900;2010;"BMW";"X5";88000;3;1
"2";264900;2011;"BMW";"5";100500;NA;1
"3";249950;2011;"BMW";"3";89000;NA;1
"4";499995;2013;"BMW";"5";38000;NA;1
"5";899900;2015;"BMW";"X5";8000;3;1
"6";44900;1999;"BMW";"3";NA;2,8;1
"7";479990;2015;"BMW";"3";1850;2;1
"8";289900;2013;"BMW";"1";52000;NA;1
"9";213300;2014;"BMW";"1";147440;NA;1
"10";459900;2010;"BMW";"M3";33967;4;1
"11";359990;2015;"BMW";"3";1850;2;1
"12";369900;2010;"BMW";"X5";88000;3;2
"13";659900;2013;"BMW";"6";20000;4,4;2
"14";599900;2015;"BMW";"5";2000;2;2
"15";369990;2015;"BMW";"3";7052;1,6;2
"16";99950;2005;"BMW";"1";103000;1,8;2
"17";499900;2015;"BMW";"4";8000;2;2
"18";34900;1999;"BMW";"3";278259;1,8;2
"19";259995;2009;"BMW";"1";70000;3,5;2
"20";409900;2015;"BMW";"3";6000;2;2
"21";469900;2015;"BMW";"3";12000;2;2
"22";649900;2014;"BMW";"4";17000;3;2
"23";369900;2010;"BMW";"X5";88000;3;3
"24";589000;2015;"BMW";"3";2500;NA;3
"25";139000;2010;"BMW";"3";NA;3,2;3
"26";129995;2008;"BMW";"3";139900;2;3
"27";469950;2013;"BMW";"3";33000;3;3
"28";249900;2007;"BMW";"X5";142000;3;3
"29";169990;2007;"BMW";"Z4";85000;3;3
"30";99950;2004;"BMW";"X3";180000;NA;3
"31";319900;2013;"BMW";"3";67909;3,2;3
"32";269900;2011;"BMW";"5";98200;2,3;3
"33";419900;2013;"BMW";"X3";75500;2;3
"34";369900;2010;"BMW";"X5";88000;3;4
"35";549900;2013;"BMW";"X5";74500;NA;4
"36";179900;2007;"BMW";"X3";116000;3;4
"37";399900;2011;"BMW";"X6";79000;3;4
"38";629950;2012;"BMW";"M-COUPE";47000;3;4
"39";499900;2014;"BMW";"5";20729;2;4
"40";119900;2004;"BMW";"5";172100;4,5;4
"41";499900;2011;"BMW";"X5";54560;3;4
"42";105950;2006;"BMW";"3";141000;NA;4
"43";119900;2008;"BMW";"3";131000;2;4
"44";249900;2010;"BMW";"X3";90600;3;4
"45";369900;2010;"BMW";"X5";88000;3;5
"46";309900;2013;"BMW";"1";73478;2,5;5
"47";379900;2012;"BMW";"5";68594;2;5
"48";139000;2008;"BMW";"3";184100;2;5
"49";699900;2014;"BMW";"4";28561;2;5
"50";369900;2014;"BMW";"3";49896;2;5
"51";169890;2011;"BMW";"3";88000;2;5
"52";99900;2004;"BMW";"1";154200;2;5
"53";124890;2008;"BMW";"3";160000;2;5
"54";449900;2010;"BMW";"X5";73500;4;5
"55";299950;2011;"BMW";"X3";92000;2;5
"56";369900;2010;"BMW";"X5";88000;3;6
"57";264990;2014;"BMW";"1";52000;NA;6
"58";259900;2009;"BMW";"X5";120000;3;6
"59";299900;2014;"BMW";"1";9050;1,6;6
"60";139900;2008;"BMW";"3";48200;2;6
"61";259900;2013;"BMW";"3";86000;2;6
"62";799900;2012;"BMW";"X6";228120;4,4;6
"63";349900;2010;"BMW";"5";93131;3;6
"64";269900;2013;"BMW";"3";70100;1,6;6
"65";104900;2007;"BMW";"1";170000;1,8;6
"66";99000;2007;"BMW";"3";151000;NA;6
"67";369900;2010;"BMW";"X5";88000;3;7
"68";179900;2010;"BMW";"3";46000;2,5;7
"69";99990;2005;"BMW";"1";98804;NA;7
"70";259990;2012;"BMW";"1";75560;NA;7
"71";199900;2011;"BMW";"X1";1e+05;NA;7
"72";399000;2011;"BMW";"X3";44180;NA;7
"73";669000;2014;"BMW";"4";12500;NA;7
"74";269000;2013;"BMW";"1";55000;NA;7
"75";499000;2015;"BMW";"2";2569;NA;7
"76";509000;2015;"BMW";"2";2658;NA;7
"77";459000;2015;"BMW";"1";2548;NA;7
"78";369900;2010;"BMW";"X5";88000;3;8
"79";599000;2015;"BMW";"2";2548;NA;8
"80";699000;2015;"BMW";"5";2568;NA;8
"81";1250000;2015;"BMW";"M5";2500;4,4;8
"82";429000;2015;"BMW";"3";13000;2;8
"83";229900;2012;"BMW";"X1";40000;2;8
"84";189900;2011;"BMW";"3";103000;2;8
"85";289950;2009;"BMW";"X5";103885;NA;8
"86";129000;2005;"BMW";"5";148000;3;8
"87";899950;2014;"BMW";"X5";26000;4,4;8
"88";1049950;2013;"BMW";"M6";25000;4,4;8
"89";369900;2010;"BMW";"X5";88000;3;9
"90";280000;2011;"BMW";"1";91500;NA;9
"91";339900;2012;"BMW";"3";88328;3;9
"92";360000;2009;"BMW";"7";83030;4,4;9
"93";229900;2013;"BMW";"3";104117;2;9
"94";269899;2012;"BMW";"3";72533;2;9
"95";209995;2011;"BMW";"X1";87112;2;9
"96";660900;2015;"BMW";"2";4450;3;9
"97";164995;2011;"BMW";"3";139000;2;9
"98";2100000;2015;"BMW";"I8";1500;1,5;9
"99";229000;2011;"BMW";"1";89200;1,8;9
"100";369900;2010;"BMW";"X5";88000;3;10
"101";225000;2011;"BMW";"X1";76022;2;10
"102";278500;2012;"BMW";"X1";73000;2;10
"103";559900;2015;"BMW";"3";7000;3;10
"104";258500;2013;"BMW";"3";75000;2;10
"105";389900;2015;"BMW";"3";2500;2;10
"106";359900;2015;"BMW";"3";25000;2;10
"107";598500;2012;"BMW";"X5";57000;4;10
"108";359900;2013;"BMW";"5";67000;2;10
"109";409900;2014;"BMW";"3";14000;2;10
"110";449900;2015;"BMW";"3";11000;2;10
"111";369900;2010;"BMW";"X5";88000;3;11
"112";169900;2011;"BMW";"3";84236;2;11
"113";459995;2012;"BMW";"X5";87000;3;11
"114";189900;2012;"BMW";"1";101000;1,6;11
"115";499900;2015;"BMW";"1";6000;3;11
"116";134900;2010;"BMW";"5";198000;2;11
"117";269000;2012;"BMW";"1";47000;1,8;11
"118";398500;2014;"BMW";"3";29000;2;11
"119";429900;2015;"BMW";"3";7000;2;11
"120";639000;2015;"BMW";"1";1500;3;11
"121";649900;2015;"BMW";"X3";2274;2;11
"122";369900;2010;"BMW";"X5";88000;3;12
"123";459000;2015;"BMW";"3";4000;2;12
"124";378500;2014;"BMW";"1";26000;2;12
"125";169950;2011;"BMW";"3";61000;NA;12
"126";449900;2015;"BMW";"3";3000;2;12
"127";698500;2013;"BMW";"X6";37000;4;12
"128";250000;2009;"BMW";"3";86823;NA;12
"129";559000;2015;"BMW";"4";14000;2;12
"130";109500;2005;"BMW";"3";134400;2;12
"131";289900;2011;"BMW";"5";88350;2;12
"132";359900;2015;"BMW";"3";1100;1,6;12
"133";369900;2010;"BMW";"X5";88000;3;13
"134";479000;2015;"BMW";"2";14000;2;13
"135";1350000;2015;"BMW";"M4";2800;NA;13
"136";149995;2011;"BMW";"3";145000;NA;13
"137";399900;2015;"BMW";"2";1500;2;13
"138";119995;2010;"BMW";"3";84800;2;13
"139";629900;2011;"BMW";"M3";44000;4;13
"140";499900;2015;"BMW";"1";6000;3;13
"141";429000;2015;"BMW";"3";2354;2;13
"142";159900;2008;"BMW";"3";109000;NA;13
"143";399900;2010;"BMW";"X6";82000;5;13
"144";369900;2010;"BMW";"X5";88000;3;14
"145";409900;2013;"BMW";"1";19000;3;14
"146";389000;2014;"BMW";"X1";12000;2;14
"147";219900;2008;"BMW";"X5";169000;3;14
"148";399900;2015;"BMW";"1";2000;2,5;14
"149";649000;2015;"BMW";"X3";5000;2;14
"150";1139950;2013;"BMW";"M6";14000;4,4;14
"151";169900;2010;"BMW";"1";95000;2;14
"152";139999;2010;"BMW";"3";139000;2;14
"153";469000;2015;"BMW";"3";3000;2;14
"154";389000;2014;"BMW";"3";24000;2;14
"155";369900;2010;"BMW";"X5";88000;3;15
"156";299900;2015;"BMW";"1";2000;1,6;15
"157";559000;2015;"BMW";"3";15000;3;15
"158";299000;2012;"BMW";"3";47000;2;15
"159";359000;2015;"BMW";"3";14000;2;15
"160";1e+05;2008;"BMW";"3";130000;NA;15
"161";969000;2015;"BMW";"X5";6000;3;15
"162";389000;2014;"BMW";"3";24000;2;15
"163";299900;2012;"BMW";"3";68000;2;15
"164";1240000;2015;"BMW";"M4";5500;6;15
"165";579900;2013;"BMW";"X3";18000;3;15
"166";369900;2010;"BMW";"X5";88000;3;16
"167";199800;2010;"BMW";"1";NA;1,2;16
"168";449900;2014;"BMW";"3";22000;2;16
"169";249000;2011;"BMW";"X1";71000;2;16
"170";469995;2015;"BMW";"3";150;2;16
"171";299800;2008;"BMW";"X5";121907;3,5;16
"172";429900;2014;"BMW";"3";14892;2;16
"173";375900;2014;"BMW";"1";25939;2;16
"174";239995;2011;"BMW";"X1";1e+05;2;16
"175";120000;1999;"BMW";"Z3";93500;2,8;16
"176";638500;2015;"BMW";"X3";8000;2;16
"177";369900;2010;"BMW";"X5";88000;3;17
"178";189900;2008;"BMW";"3";62000;2;17
"179";1309900;2015;"BMW";"X6";2797;3;17
"180";279900;2014;"BMW";"1";15000;1,6;17
"181";389000;2012;"BMW";"3";42000;3;17
"182";199999;2010;"BMW";"1";58000;2;17
"183";239900;2011;"BMW";"X1";84500;NA;17
"184";269900;2012;"BMW";"1";108500;NA;17
"185";519900;2012;"BMW";"X5";31000;3;17
"186";279900;2010;"BMW";"5";62000;2,5;17
"187";559900;2010;"BMW";"M3";59000;4;17
"188";369900;2010;"BMW";"X5";88000;3;18
"189";439000;2013;"BMW";"X3";64000;2;18
"190";299000;2013;"BMW";"3";61000;2;18
"191";1113500;2015;"BMW";"X5";5000;3;18
"192";694200;2015;"BMW";"X3";5000;2;18
"193";639000;2014;"BMW";"4";18000;3;18
"194";432400;2015;"BMW";"1";5000;1,8;18
"195";289900;2014;"BMW";"1";48965;1,8;18
"196";410000;2011;"BMW";"X5";78263;3;18
"197";423000;2015;"BMW";"3";1004;NA;18
"198";774000;2015;"BMW";"X3";1004;NA;18
"199";369900;2010;"BMW";"X5";88000;3;19
"200";249000;2013;"BMW";"1";40010;NA;19
"201";159950;2011;"BMW";"1";103000;NA;19
"202";1179000;2014;"BMW";"X6";12000;4,4;19
"203";439000;2013;"BMW";"3";21000;3;19
"204";199950;2009;"BMW";"X3";74500;2;19
"205";429000;2015;"BMW";"3";3000;2;19
"206";99999;2010;"BMW";"3";17500;2,3;19
"207";209000;2011;"BMW";"3";72000;2;19
"208";229000;2008;"BMW";"7";106000;5;19
"209";699000;2015;"BMW";"X4";7000;2;19
"210";369900;2010;"BMW";"X5";88000;3;20
"211";579000;2015;"BMW";"5";13000;2;20
"212";539000;2015;"BMW";"4";4000;2;20
"213";529000;2014;"BMW";"5";14000;2;20
"214";409950;2015;"BMW";"3";NA;2;20
"215";469000;2015;"BMW";"3";6000;2;20
"216";399950;2015;"BMW";"3";NA;2;20
"217";229900;2010;"BMW";"3";97000;2,5;20
