"";"Price";"Year";"Make";"Model";"Mileage";"Engine";"AutoTraderPage"
"1";154950;2014;"CHEVROLET";"SONIC";22191;NA;1
"2";139995;2015;"CHEVROLET";"UTILITY";18000;NA;1
"3";139995;2015;"CHEVROLET";"UTILITY";18500;NA;1
"4";89900;2012;"CHEVROLET";"AVEO";47231;NA;1
"5";239900;2013;"CHEVROLET";"CAPTIVA";58000;NA;1
"6";124995;2012;"CHEVROLET";"SONIC";49010;NA;1
"7";134995;2013;"CHEVROLET";"SONIC";61000;NA;1
"8";134900;2013;"CHEVROLET";"UTILITY";89500;NA;1
"9";119950;2012;"CHEVROLET";"1.6LS";93000;NA;1
"10";NA;2013;"CHEVROLET";"UTILITY";43000;NA;1
"11";129995;2013;"CHEVROLET";"UTILITY";80900;1,4;1
"12";154950;2014;"CHEVROLET";"SONIC";22191;NA;2
"13";65000;2013;"CHEVROLET";"AVEO";NA;1,6;2
"14";69900;2012;"CHEVROLET";"SPARK";57000;1;2
"15";99900;2011;"CHEVROLET";"CORSA";190000;NA;2
"16";104990;2014;"CHEVROLET";"SPARK";18000;NA;2
"17";129990;2013;"CHEVROLET";"UTILITY";28000;NA;2
"18";179990;2014;"CHEVROLET";"CRUZE";25000;NA;2
"19";419990;2015;"CHEVROLET";"TRAILBLAZER";25000;NA;2
"20";99990;2014;"CHEVROLET";"SPARK";18000;NA;2
"21";99990;2014;"CHEVROLET";"SPARK";19000;NA;2
"22";229990;2013;"CHEVROLET";"CAPTIVA";56000;NA;2
"23";154950;2014;"CHEVROLET";"SONIC";22191;NA;3
"24";279990;2014;"CHEVROLET";"CAPTIVA";7000;NA;3
"25";119990;2012;"CHEVROLET";"UTILITY";63000;NA;3
"26";134990;2014;"CHEVROLET";"AVEO";6000;NA;3
"27";135000;2012;"CHEVROLET";"CRUZE";NA;1,8;3
"28";154950;2014;"CHEVROLET";"SONIC";22191;NA;3
"29";164950;2014;"CHEVROLET";"CRUZE";20837;NA;3
"30";164950;2014;"CHEVROLET";"CRUZE";24602;NA;3
"31";169950;2014;"CHEVROLET";"SONIC";15882;NA;3
"32";149950;2014;"CHEVROLET";"SONIC";25019;NA;3
"33";224950;2011;"CHEVROLET";"CAPTIVA";60015;NA;3
"34";169950;2014;"CHEVROLET";"SONIC";15882;NA;4
"35";149950;2014;"CHEVROLET";"SONIC";31000;NA;4
"36";79950;2011;"CHEVROLET";"SPARK";94000;1,2;4
"37";99995;2014;"CHEVROLET";"SPARK";21000;1,2;4
"38";79995;2010;"CHEVROLET";"OPTRA";137000;1,6;4
"39";398600;2015;"CHEVROLET";"CAPTIVA";100;NA;4
"40";301300;2015;"CHEVROLET";"ORLANDO";100;NA;4
"41";104300;2015;"CHEVROLET";"SPARK";100;NA;4
"42";299900;2008;"CHEVROLET";"LUMINA";70000;6;4
