"";"Price";"Year";"Make";"Model";"Mileage";"Engine";"AutoTraderPage"
"1";26900;1998;"DAEWOO";"ESPERO";85471;1,8;1
"2";29900;1997;"DAEWOO";"CIELO";111000;1,5;1
"3";34900;2000;"DAEWOO";"MATIZ";193000;0,8;1
"4";26900;1998;"DAEWOO";"ESPERO";85471;1,8;1
"5";27000;1998;"DAEWOO";"CIELO";152318;1,5;1
"6";34995;1997;"DAEWOO";"CIELO";296750;1,5;1
"7";34995;1999;"DAEWOO";"NUBIRA";118090;2;1
"8";34995;2000;"DAEWOO";"NUBIRA";215482;2;1
"9";26900;1998;"DAEWOO";"ESPERO";85471;1,8;2
"10";29900;1997;"DAEWOO";"CIELO";111000;1,5;2
"11";34900;2000;"DAEWOO";"MATIZ";193000;0,8;2
"12";26900;1998;"DAEWOO";"ESPERO";85471;1,8;2
"13";27000;1998;"DAEWOO";"CIELO";152318;1,5;2
"14";34995;1997;"DAEWOO";"CIELO";296750;1,5;2
"15";34995;1999;"DAEWOO";"NUBIRA";118090;2;2
"16";34995;2000;"DAEWOO";"NUBIRA";215482;2;2
"17";26900;1998;"DAEWOO";"ESPERO";85471;1,8;3
"18";29900;1997;"DAEWOO";"CIELO";111000;1,5;3
"19";34900;2000;"DAEWOO";"MATIZ";193000;0,8;3
"20";26900;1998;"DAEWOO";"ESPERO";85471;1,8;3
"21";27000;1998;"DAEWOO";"CIELO";152318;1,5;3
"22";34995;1997;"DAEWOO";"CIELO";296750;1,5;3
"23";34995;1999;"DAEWOO";"NUBIRA";118090;2;3
"24";34995;2000;"DAEWOO";"NUBIRA";215482;2;3
"25";26900;1998;"DAEWOO";"ESPERO";85471;1,8;4
"26";29900;1997;"DAEWOO";"CIELO";111000;1,5;4
"27";34900;2000;"DAEWOO";"MATIZ";193000;0,8;4
"28";26900;1998;"DAEWOO";"ESPERO";85471;1,8;4
"29";27000;1998;"DAEWOO";"CIELO";152318;1,5;4
"30";34995;1997;"DAEWOO";"CIELO";296750;1,5;4
"31";34995;1999;"DAEWOO";"NUBIRA";118090;2;4
"32";34995;2000;"DAEWOO";"NUBIRA";215482;2;4
"33";26900;1998;"DAEWOO";"ESPERO";85471;1,8;5
"34";29900;1997;"DAEWOO";"CIELO";111000;1,5;5
"35";34900;2000;"DAEWOO";"MATIZ";193000;0,8;5
"36";26900;1998;"DAEWOO";"ESPERO";85471;1,8;5
"37";27000;1998;"DAEWOO";"CIELO";152318;1,5;5
"38";34995;1997;"DAEWOO";"CIELO";296750;1,5;5
"39";34995;1999;"DAEWOO";"NUBIRA";118090;2;5
"40";34995;2000;"DAEWOO";"NUBIRA";215482;2;5
"41";26900;1998;"DAEWOO";"ESPERO";85471;1,8;6
"42";29900;1997;"DAEWOO";"CIELO";111000;1,5;6
"43";34900;2000;"DAEWOO";"MATIZ";193000;0,8;6
"44";26900;1998;"DAEWOO";"ESPERO";85471;1,8;6
"45";27000;1998;"DAEWOO";"CIELO";152318;1,5;6
"46";34995;1997;"DAEWOO";"CIELO";296750;1,5;6
"47";34995;1999;"DAEWOO";"NUBIRA";118090;2;6
"48";34995;2000;"DAEWOO";"NUBIRA";215482;2;6
"49";26900;1998;"DAEWOO";"ESPERO";85471;1,8;7
"50";29900;1997;"DAEWOO";"CIELO";111000;1,5;7
"51";34900;2000;"DAEWOO";"MATIZ";193000;0,8;7
"52";26900;1998;"DAEWOO";"ESPERO";85471;1,8;7
"53";27000;1998;"DAEWOO";"CIELO";152318;1,5;7
"54";34995;1997;"DAEWOO";"CIELO";296750;1,5;7
"55";34995;1999;"DAEWOO";"NUBIRA";118090;2;7
"56";34995;2000;"DAEWOO";"NUBIRA";215482;2;7
"57";26900;1998;"DAEWOO";"ESPERO";85471;1,8;8
"58";29900;1997;"DAEWOO";"CIELO";111000;1,5;8
"59";34900;2000;"DAEWOO";"MATIZ";193000;0,8;8
"60";26900;1998;"DAEWOO";"ESPERO";85471;1,8;8
"61";27000;1998;"DAEWOO";"CIELO";152318;1,5;8
"62";34995;1997;"DAEWOO";"CIELO";296750;1,5;8
"63";34995;1999;"DAEWOO";"NUBIRA";118090;2;8
"64";34995;2000;"DAEWOO";"NUBIRA";215482;2;8
"65";26900;1998;"DAEWOO";"ESPERO";85471;1,8;9
"66";29900;1997;"DAEWOO";"CIELO";111000;1,5;9
"67";34900;2000;"DAEWOO";"MATIZ";193000;0,8;9
"68";26900;1998;"DAEWOO";"ESPERO";85471;1,8;9
"69";27000;1998;"DAEWOO";"CIELO";152318;1,5;9
"70";34995;1997;"DAEWOO";"CIELO";296750;1,5;9
"71";34995;1999;"DAEWOO";"NUBIRA";118090;2;9
"72";34995;2000;"DAEWOO";"NUBIRA";215482;2;9
"73";26900;1998;"DAEWOO";"ESPERO";85471;1,8;10
"74";29900;1997;"DAEWOO";"CIELO";111000;1,5;10
"75";34900;2000;"DAEWOO";"MATIZ";193000;0,8;10
"76";26900;1998;"DAEWOO";"ESPERO";85471;1,8;10
"77";27000;1998;"DAEWOO";"CIELO";152318;1,5;10
"78";34995;1997;"DAEWOO";"CIELO";296750;1,5;10
"79";34995;1999;"DAEWOO";"NUBIRA";118090;2;10
"80";34995;2000;"DAEWOO";"NUBIRA";215482;2;10
"81";26900;1998;"DAEWOO";"ESPERO";85471;1,8;11
"82";29900;1997;"DAEWOO";"CIELO";111000;1,5;11
"83";34900;2000;"DAEWOO";"MATIZ";193000;0,8;11
"84";26900;1998;"DAEWOO";"ESPERO";85471;1,8;11
"85";27000;1998;"DAEWOO";"CIELO";152318;1,5;11
