"";"Price";"Year";"Make";"Model";"Mileage";"Engine";"AutoTraderPage"
"1";249995;2014;"Featured";"Listing";42000;2;1
"2";249995;2014;"FORD";"FOCUS";42000;2;1
"3";419995;2015;"FORD";"FUSION";7000;2;1
"4";109950;2011;"FORD";"FIGO";99181;1,4;1
"5";114900;2014;"FORD";"FIGO";27068;NA;1
"6";249900;2014;"FORD";"ECOSPORT";14887;1,5;1
"7";364995;2015;"FORD";"RANGER";10000;2,2;1
"8";119995;2010;"FORD";"FIESTA";52000;1,6;1
"9";99900;2011;"FORD";"FIGO";135000;NA;1
"10";109900;2011;"FORD";"FIGO";68000;NA;1
"11";129995;2006;"FORD";"FOCUS";170000;2,5;1
"12";249995;2014;"Featured";"Listing";42000;2;2
"13";79900;2006;"FORD";"TERRITORY";179000;4;2
"14";85000;2011;"FORD";"FIGO";NA;1,4;2
"15";229995;2013;"FORD";"FIESTA";24000;1,6;2
"16";349950;2014;"FORD";"TOURNEO";15002;2,2;2
"17";93600;2011;"FORD";"FIGO";61000;NA;2
"18";159995;2009;"FORD";"RANGER";196000;3;2
"19";109995;2010;"FORD";"FIESTA";136000;1,6;2
"20";365000;2012;"FORD";"RANGER";78000;3,2;2
"21";174900;2008;"FORD";"RANGER";99400;3;2
"22";155000;2008;"FORD";"TERRITORY";119800;4;2
"23";249995;2014;"Featured";"Listing";42000;2;3
"24";39800;2007;"FORD";"KA";134236;1,3;3
"25";75000;2006;"FORD";"FOCUS";138000;1,6;3
"26";139900;2011;"FORD";"FIESTA";91000;1,6;3
"27";59900;2006;"FORD";"FOCUS";210344;1,6;3
"28";69000;2011;"FORD";"BANTAM";NA;1,3;3
"29";319990;2014;"FORD";"RANGER";66500;NA;3
"30";269900;2011;"FORD";"RANGER";69891;NA;3
"31";309900;2012;"FORD";"RANGER";1e+05;2,2;3
"32";319950;2014;"FORD";"TOURNEO";107000;2,2;3
"33";229950;2015;"FORD";"TOURNEO";117000;2,2;3
"34";249995;2014;"Featured";"Listing";42000;2;4
"35";314950;2014;"FORD";"TOURNEO";108000;2,2;4
"36";99990;2010;"FORD";"FIESTA";151000;1,4;4
"37";89995;2011;"FORD";"FIGO";81000;1,4;4
"38";295990;2012;"FORD";"RANGER";76171;3,2;4
"39";99000;2012;"FORD";"FOCUS";128950;NA;4
"40";349900;2012;"FORD";"RANGER";88023;NA;4
"41";509950;2015;"FORD";"RANGER";7715;NA;4
"42";479950;2015;"FORD";"RANGER";23;NA;4
"43";69995;2007;"FORD";"BANTAM";NA;1,6;4
"44";114900;2014;"FORD";"FIGO";10800;1,4;4
"45";249995;2014;"Featured";"Listing";42000;2;5
"46";109990;2014;"FORD";"FIGO";18368;1,4;5
"47";112995;2014;"FORD";"FIGO";15000;1,4;5
"48";122995;2014;"FORD";"FIGO";15000;1,4;5
"49";152995;2015;"FORD";"FIGO";10000;1,4;5
"50";229995;2015;"FORD";"RANGER";10000;2,2;5
"51";234994;2013;"FORD";"RANGER";55259;2,2;5
"52";284995;2015;"FORD";"KUGA";8000;1,6;5
"53";299995;2015;"FORD";"RANGER";15000;2,2;5
"54";314995;2015;"FORD";"RANGER";10000;2,2;5
"55";390955;2015;"FORD";"KUGA";10000;2;5
"56";249995;2014;"Featured";"Listing";42000;2;6
"57";427195;2015;"FORD";"KUGA";10000;2;6
"58";279995;2014;"FORD";"RANGER";62000;2,2;6
"59";314995;2013;"FORD";"RANGER";83000;3,2;6
"60";359995;2014;"FORD";"RANGER";30000;2,2;6
"61";249995;2015;"FORD";"ECOSPORT";5600;1,5;6
"62";299995;2012;"FORD";"RANGER";72000;3,2;6
"63";299995;2012;"FORD";"RANGER";67433;2,2;6
"64";314995;2013;"FORD";"RANGER";54887;2,2;6
"65";449995;2015;"FORD";"TOURNEO";12500;2,2;6
"66";124995;2015;"FORD";"FIGO";10000;1,4;6
"67";249995;2014;"Featured";"Listing";42000;2;7
"68";424995;2015;"FORD";"FUSION";9000;2;7
"69";109900;2014;"FORD";"FIGO";12045;1,4;7
"70";143900;2014;"FORD";"FIESTA";23757;1,4;7
"71";79000;2010;"FORD";"BANTAM";82000;NA;7
"72";339995;2014;"FORD";"KUGA";30200;NA;7
"73";149900;2014;"FORD";"FIESTA";21382;NA;7
"74";89900;2010;"FORD";"IKON";86000;1,6;7
"75";299900;2014;"FORD";"FOCUS";38000;2;7
"76";169900;2012;"FORD";"FOCUS";62000;2;7
"77";139900;2012;"FORD";"FIESTA";47000;1,6;7
"78";249995;2014;"Featured";"Listing";42000;2;8
"79";79900;2011;"FORD";"FIGO";86000;1,4;8
"80";119900;2014;"FORD";"FIGO";10000;1,4;8
"81";199900;2011;"FORD";"EVEREST";80000;3;8
"82";214900;2015;"FORD";"ECOSPORT";100;1,5;8
"83";224900;2013;"FORD";"ECOSPORT";21000;1,5;8
"84";150000;2005;"FORD";"F250";290000;5,9;8
"85";109990;2012;"FORD";"BANTAM";96000;1,3;8
"86";59900;2006;"FORD";"FOCUS";210344;1,6;8
"87";109950;2013;"FORD";"FIGO";47950;1,4;8
"88";149950;2011;"FORD";"EVEREST";208000;3;8
"89";249995;2014;"Featured";"Listing";42000;2;9
"90";229900;2012;"FORD";"RANGER";32000;NA;9
"91";79950;2011;"FORD";"FIGO";154919;1,4;9
"92";49500;2006;"FORD";"FIESTA";92000;NA;9
"93";369900;2014;"FORD";"KUGA";26590;1,6;9
"94";349900;2015;"FORD";"RANGER";3000;2,2;9
"95";279990;2014;"FORD";"RANGER";27603;2,2;9
"96";54995;2004;"FORD";"FIESTA";171000;1,4;9
"97";109900;2007;"FORD";"TERRITORY";116000;4;9
"98";104999;2011;"FORD";"FIESTA";114000;1,6;9
"99";289950;2011;"FORD";"RANGER";68067;NA;9
"100";249995;2014;"Featured";"Listing";42000;2;10
"101";175000;2012;"FORD";"RANGER";17900;NA;10
"102";199900;2013;"FORD";"FOCUS";74000;NA;10
"103";279900;2011;"FORD";"RANGER";167700;3;10
"104";214950;2010;"FORD";"FOCUS";88146;2,5;10
"105";109900;2012;"FORD";"FIGO";55000;NA;10
"106";109900;2013;"FORD";"FIGO";40500;NA;10
"107";109900;2012;"FORD";"BANTAM";88000;NA;10
"108";149900;2012;"FORD";"FOCUS";1e+05;NA;10
"109";109900;2007;"FORD";"TERRITORY";165700;4;10
"110";55000;2005;"FORD";"BANTAM";111268;NA;10
"111";249995;2014;"Featured";"Listing";42000;2;11
"112";299900;2013;"FORD";"TOURNEO";56500;NA;11
"113";349950;2015;"FORD";"RANGER";407;2,2;11
"114";399900;2013;"FORD";"RANGER";40500;3,2;11
"115";209900;2014;"FORD";"FOCUS";23000;1,6;11
"116";184999;2014;"FORD";"RANGER";54000;2,5;11
"117";319900;2015;"FORD";"FOCUS";15000;2;11
"118";120000;2007;"FORD";"RANGER";166000;NA;11
"119";189900;2014;"FORD";"FOCUS";35000;NA;11
"120";339900;2014;"FORD";"KUGA";47000;NA;11
"121";139900;2013;"FORD";"FIESTA";19000;NA;11
"122";249995;2014;"Featured";"Listing";42000;2;12
"123";349900;2014;"FORD";"KUGA";29800;NA;12
"124";359900;2014;"FORD";"KUGA";16000;NA;12
"125";279900;2014;"FORD";"KUGA";28000;NA;12
"126";389900;2015;"FORD";"RANGER";5000;NA;12
"127";34700;2004;"FORD";"IKON";118556;NA;12
"128";109995;2010;"FORD";"BANTAM";133000;1,4;12
"129";119900;2015;"FORD";"FIGO";3000;1,4;12
