"";"Price";"Year";"Make";"Model";"Mileage";"Engine";"AutoTraderPage"
"1";119950;2009;"HONDA";"JAZZ";133697;NA;1
"2";149900;2011;"HONDA";"JAZZ";66000;1,3;1
"3";199900;2013;"HONDA";"CIVIC";44000;NA;1
"4";209900;2015;"HONDA";"BRIO";200;NA;1
"5";114995;2007;"HONDA";"ACCORD";128070;2,4;1
"6";99995;2013;"HONDA";"BRIO";48000;1,2;1
"7";60000;2011;"HONDA";"JAZZ";NA;1,3;1
"8";69900;2004;"HONDA";"CIVIC";109100;1,7;1
"9";69900;2000;"HONDA";"CIVIC";95700;1,5;1
"10";89900;2013;"HONDA";"BRIO";45000;1,2;1
"11";89900;2013;"HONDA";"BRIO";45000;1,2;1
"12";119950;2009;"HONDA";"JAZZ";133697;NA;2
"13";179900;2014;"HONDA";"BALLADE";17000;1,5;2
"14";189900;2014;"HONDA";"BALLADE";10000;1,5;2
"15";124900;2014;"HONDA";"BRIO";3600;1,2;2
"16";72990;2006;"HONDA";"JAZZ";189000;1,5;2
"17";159144;2013;"HONDA";"JAZZ";20000;NA;2
"18";159144;2013;"HONDA";"JAZZ";20000;NA;2
"19";134900;2014;"HONDA";"BRIO";11210;NA;2
"20";99900;2013;"HONDA";"BRIO";33142;NA;2
"21";129995;2011;"HONDA";"JAZZ";79995;1,5;2
"22";99900;2009;"HONDA";"JAZZ";110000;1,5;2
"23";119950;2009;"HONDA";"JAZZ";133697;NA;3
"24";115000;2010;"HONDA";"CIVIC";97522;2,2;3
"25";469900;2015;"HONDA";"ACCORD";3500;NA;3
"26";129950;2007;"HONDA";"CR-V";107000;2,2;3
"27";124900;2011;"HONDA";"JAZZ";62000;1,3;3
"28";369900;2015;"HONDA";"ACCORD";2900;NA;3
"29";256900;2015;"HONDA";"JAZZ";NA;NA;3
"30";154995;2014;"HONDA";"BALLADE";5175;1,5;3
"31";159900;2013;"HONDA";"JAZZ";41500;1,5;3
"32";179900;2010;"HONDA";"CR-V";117000;NA;3
"33";79950;2006;"HONDA";"CR-V";308000;2;3
"34";119950;2009;"HONDA";"JAZZ";133697;NA;4
"35";98000;2009;"HONDA";"CIVIC";82400;1,8;4
"36";189900;2013;"HONDA";"CIVIC";4825;NA;4
"37";195900;2011;"HONDA";"CR-V";95000;NA;4
"38";169900;2014;"HONDA";"BALLADE";12000;NA;4
"39";169900;2014;"HONDA";"BALLADE";13000;NA;4
"40";259900;2015;"HONDA";"CIVIC";10000;NA;4
"41";259900;2015;"HONDA";"CIVIC";6700;NA;4
"42";119900;2014;"HONDA";"BRIO";2074;NA;4
"43";144900;2010;"HONDA";"ACCORD";212000;2,2;4
"44";189950;2010;"HONDA";"CIVIC";93000;2;4
"45";119950;2009;"HONDA";"JAZZ";133697;NA;5
"46";142900;2012;"HONDA";"CIVIC";77000;1,8;5
"47";205900;2013;"HONDA";"CR-V";105000;2,2;5
"48";99900;2009;"HONDA";"CIVIC";107500;1,8;5
"49";33000;1993;"HONDA";"PRELUDE";225672;NA;5
"50";29950;1995;"HONDA";"PRELUDE";NA;2,5;5
"51";279900;2013;"HONDA";"CR-V";25000;NA;5
"52";139900;2012;"HONDA";"CIVIC";65009;NA;5
"53";69900;2006;"HONDA";"CIVIC";175000;NA;5
"54";139900;2013;"HONDA";"BALLADE";44902;NA;5
"55";139900;2013;"HONDA";"BALLADE";52834;NA;5
"56";119950;2009;"HONDA";"JAZZ";133697;NA;6
"57";139900;2013;"HONDA";"BALLADE";51968;NA;6
"58";89900;2006;"HONDA";"ACCORD";137000;2,4;6
"59";149995;2010;"HONDA";"ACCORD";136000;NA;6
"60";183000;2012;"HONDA";"CIVIC";77000;NA;6
"61";75000;2013;"HONDA";"BRIO";3700;NA;6
"62";129900;2013;"HONDA";"JAZZ";56558;1,3;6
"63";99950;2008;"HONDA";"CIVIC";115500;1,8;6
"64";239900;2013;"HONDA";"CR-V";60063;NA;6
"65";95900;2006;"HONDA";"FR-V";122403;NA;6
"66";204900;2015;"HONDA";"CIVIC";10000;NA;6
"67";119950;2009;"HONDA";"JAZZ";133697;NA;7
"68";124900;2015;"HONDA";"BRIO";12500;NA;7
"69";249800;2010;"HONDA";"CR-V";56144;2,4;7
"70";139995;2015;"HONDA";"BRIO";1000;1,2;7
"71";169999;2011;"HONDA";"CIVIC";129000;2,2;7
"72";199900;2012;"HONDA";"CIVIC";27303;NA;7
"73";109900;2013;"HONDA";"BRIO";15000;1,2;7
"74";109900;2013;"HONDA";"BRIO";42769;1,2;7
"75";99900;2011;"HONDA";"JAZZ";149000;1,5;7
"76";144950;2013;"HONDA";"BALLADE";35309;1,5;7
"77";189950;2011;"HONDA";"CR-V";130000;2,4;7
"78";119950;2009;"HONDA";"JAZZ";133697;NA;8
"79";179900;2014;"HONDA";"MOBILIO";22000;1,5;8
"80";109900;2007;"HONDA";"CR-V";232000;2;8
"81";254000;2013;"HONDA";"CR-V";44000;2;8
"82";169900;2012;"HONDA";"JAZZ";47998;NA;8
