"";"Price";"Year";"Make";"Model";"Mileage";"Engine";"AutoTraderPage"
"1";129950;2011;"HYUNDAI";"ELANTRA";107000;NA;1
"2";NA;2010;"HYUNDAI";"IX35";75000;2;1
"3";134900;2012;"HYUNDAI";"ACCENT";56000;1,6;1
"4";189900;2010;"HYUNDAI";"IX35";68500;NA;1
"5";249995;2012;"HYUNDAI";"IX35";51685;2;1
"6";189500;2009;"HYUNDAI";"H-1";166000;2,4;1
"7";119900;2013;"HYUNDAI";"I10";33400;1,2;1
"8";144900;2012;"HYUNDAI";"ACCENT";39183;1,6;1
"9";189000;2014;"HYUNDAI";"ACCENT";25000;1,6;1
"10";104995;2014;"HYUNDAI";"I10";29880;1,1;1
"11";114995;2007;"HYUNDAI";"TUCSON";128300;2;1
"12";129950;2011;"HYUNDAI";"ELANTRA";107000;NA;2
"13";199995;2011;"HYUNDAI";"IX35";83000;2;2
"14";99900;2007;"HYUNDAI";"TIBURON";149700;2,7;2
"15";104995;2014;"HYUNDAI";"I10";34900;1,1;2
"16";104995;2014;"HYUNDAI";"I10";35600;1,1;2
"17";27000;2011;"HYUNDAI";"I10";NA;1,1;2
"18";189950;2011;"HYUNDAI";"SANTA";124000;2,2;2
"19";209990;2011;"HYUNDAI";"IX35";114000;NA;2
"20";89950;2007;"HYUNDAI";"TUCSON";180792;2,7;2
"21";129900;2011;"HYUNDAI";"I30";134000;1,6;2
"22";114900;2011;"HYUNDAI";"I20";50000;1,4;2
"23";129950;2011;"HYUNDAI";"ELANTRA";107000;NA;3
"24";109950;2013;"HYUNDAI";"I10";11000;1,1;3
"25";188900;2013;"HYUNDAI";"ELANTRA";33600;1,8;3
"26";104990;2010;"HYUNDAI";"I20";132000;1,6;3
"27";99950;2007;"HYUNDAI";"TUCSON";182956;2;3
"28";109900;2010;"HYUNDAI";"I20";77000;1,4;3
"29";89900;2007;"HYUNDAI";"TUCSON";144000;NA;3
"30";134900;2013;"HYUNDAI";"I20";69574;NA;3
"31";109900;2014;"HYUNDAI";"I10";28000;1,1;3
"32";109900;2014;"HYUNDAI";"I10";29000;NA;3
"33";109900;2014;"HYUNDAI";"I10";220000;NA;3
"34";129950;2011;"HYUNDAI";"ELANTRA";107000;NA;4
"35";319900;2014;"HYUNDAI";"IX35";26000;2;4
"36";419900;2014;"HYUNDAI";"H-1";23433;2,5;4
"37";177994;2011;"HYUNDAI";"IX35";118000;2;4
"38";119989;2012;"HYUNDAI";"I20";39697;1,6;4
"39";109990;2010;"HYUNDAI";"I20";96553;1,4;4
"40";104995;2010;"HYUNDAI";"I20";66000;1,6;4
"41";189995;2013;"HYUNDAI";"ELANTRA";45500;1,8;4
"42";184995;2013;"HYUNDAI";"I30";77500;1,8;4
"43";237995;2015;"HYUNDAI";"ELANTRA";1;NA;4
"44";139900;2014;"HYUNDAI";"I20";42000;NA;4
"45";129950;2011;"HYUNDAI";"ELANTRA";107000;NA;5
"46";419900;2013;"HYUNDAI";"SANTA";28000;NA;5
"47";174900;2014;"HYUNDAI";"I20";18879;NA;5
"48";184989;2011;"HYUNDAI";"IX35";103300;NA;5
"49";109900;2008;"HYUNDAI";"TUCSON";57000;2;5
"50";149900;2011;"HYUNDAI";"ELANTRA";61000;1,8;5
"51";109900;2011;"HYUNDAI";"I20";72000;1,6;5
"52";99900;2011;"HYUNDAI";"I20";92000;1,4;5
"53";64900;2011;"HYUNDAI";"ATOS";58000;1,1;5
"54";82900;2012;"HYUNDAI";"I10";90000;NA;5
"55";39950;2006;"HYUNDAI";"ATOS";98500;NA;5
"56";129950;2011;"HYUNDAI";"ELANTRA";107000;NA;6
"57";179900;2010;"HYUNDAI";"IX35";60000;2;6
"58";65995;2005;"HYUNDAI";"TUCSON";191000;2,7;6
"59";99900;2011;"HYUNDAI";"I30";125871;1,6;6
"60";109990;2012;"HYUNDAI";"I20";99000;1,6;6
"61";229900;2011;"HYUNDAI";"IX35";61000;2;6
"62";59500;2005;"HYUNDAI";"ATOS";184000;1,1;6
"63";279900;2011;"HYUNDAI";"IX35";62000;2;6
"64";54900;2008;"HYUNDAI";"ATOS";115000;1,1;6
"65";99900;2011;"HYUNDAI";"I30";125871;1,6;6
"66";134995;2015;"HYUNDAI";"I10";5000;NA;6
"67";129950;2011;"HYUNDAI";"ELANTRA";107000;NA;7
"68";199995;2015;"HYUNDAI";"ACCENT";1700;NA;7
"69";279995;2014;"HYUNDAI";"IX35";34000;NA;7
"70";214995;2012;"HYUNDAI";"IX35";77000;NA;7
"71";219995;2011;"HYUNDAI";"IX35";66000;NA;7
"72";139800;2014;"HYUNDAI";"I20";19900;NA;7
"73";119900;2014;"HYUNDAI";"I10";32563;NA;7
"74";119900;2007;"HYUNDAI";"SANTA";205000;2,2;7
"75";139800;2013;"HYUNDAI";"I20";44389;NA;7
"76";279800;2012;"HYUNDAI";"SANTA";77469;NA;7
"77";259800;2011;"HYUNDAI";"SANTA";97096;NA;7
"78";129950;2011;"HYUNDAI";"ELANTRA";107000;NA;8
"79";139800;2011;"HYUNDAI";"I30";99703;NA;8
"80";135990;2012;"HYUNDAI";"I20";46500;NA;8
"81";264995;2015;"HYUNDAI";"I30";1;NA;8
"82";529995;2015;"HYUNDAI";"SANTE-FE";1;NA;8
"83";194995;2015;"HYUNDAI";"I20";1;NA;8
"84";194995;2015;"HYUNDAI";"I20";1;NA;8
"85";164995;2015;"HYUNDAI";"I20";1;NA;8
"86";169995;2015;"HYUNDAI";"GRAND";1;NA;8
"87";169995;2015;"HYUNDAI";"GRAND";1;NA;8
"88";169995;2015;"HYUNDAI";"GRAND";1;NA;8
"89";129950;2011;"HYUNDAI";"ELANTRA";107000;NA;9
"90";184995;2015;"HYUNDAI";"I20";1;NA;9
"91";184995;2015;"HYUNDAI";"I20";1;NA;9
"92";164900;2014;"HYUNDAI";"I20";24000;NA;9
"93";132900;2014;"HYUNDAI";"I20";22400;NA;9
"94";132900;2014;"HYUNDAI";"I20";22100;NA;9
"95";132900;2014;"HYUNDAI";"I20";23200;NA;9
"96";132900;2014;"HYUNDAI";"I20";18000;NA;9
"97";132900;2014;"HYUNDAI";"I20";19200;NA;9
"98";132900;2014;"HYUNDAI";"I20";16300;NA;9
"99";132900;2014;"HYUNDAI";"I20";20900;NA;9
"100";129950;2011;"HYUNDAI";"ELANTRA";107000;NA;10
"101";132900;2014;"HYUNDAI";"I20";21000;NA;10
"102";132900;2014;"HYUNDAI";"I20";21600;NA;10
"103";132900;2014;"HYUNDAI";"I20";24600;NA;10
"104";132900;2014;"HYUNDAI";"I20";19700;NA;10
"105";134990;2015;"HYUNDAI";"I10";5000;NA;10
"106";134990;2015;"HYUNDAI";"I10";5000;NA;10
"107";169990;2015;"HYUNDAI";"I20";5000;NA;10
"108";122990;2015;"HYUNDAI";"I10";5000;NA;10
"109";122990;2015;"HYUNDAI";"I10";5000;NA;10
"110";122990;2015;"HYUNDAI";"I10";5000;NA;10
"111";129950;2011;"HYUNDAI";"ELANTRA";107000;NA;11
"112";139990;2015;"HYUNDAI";"GRAND";5000;NA;11
"113";139990;2015;"HYUNDAI";"GRAND";5000;NA;11
"114";139990;2015;"HYUNDAI";"GRAND";5000;NA;11
"115";159990;2015;"HYUNDAI";"GRAND";5000;NA;11
"116";174990;2015;"HYUNDAI";"GRAND";500;NA;11
"117";159990;2015;"HYUNDAI";"GRAND";5000;NA;11
"118";149990;2013;"HYUNDAI";"I20";39000;NA;11
"119";103995;2014;"HYUNDAI";"I10";27000;NA;11
"120";104995;2014;"HYUNDAI";"I10";27000;NA;11
"121";95995;2013;"HYUNDAI";"I10";29102;NA;11
"122";129950;2011;"HYUNDAI";"ELANTRA";107000;NA;12
"123";429900;2014;"HYUNDAI";"H-1";45000;NA;12
"124";129900;2014;"HYUNDAI";"GRAND";15000;NA;12
"125";109900;2011;"HYUNDAI";"I20";100900;NA;12
"126";299900;2014;"HYUNDAI";"SONATA";37000;NA;12
"127";219900;2013;"HYUNDAI";"VELOSTER";21000;NA;12
"128";292900;2014;"HYUNDAI";"IX35";30000;NA;12
"129";294900;2014;"HYUNDAI";"IX35";9500;NA;12
"130";89900;2012;"HYUNDAI";"I10";66523;NA;12
"131";209900;2011;"HYUNDAI";"IX35";76000;NA;12
"132";289900;2013;"HYUNDAI";"IX35";81211;NA;12
"133";129950;2011;"HYUNDAI";"ELANTRA";107000;NA;13
"134";429900;2014;"HYUNDAI";"H-1";37737;NA;13
"135";69900;2011;"HYUNDAI";"I10";91408;NA;13
"136";79900;2010;"HYUNDAI";"ACCENT";42519;NA;13
"137";138900;2012;"HYUNDAI";"I20";67805;NA;13
"138";269900;2012;"HYUNDAI";"H-1";77895;NA;13
"139";129900;2012;"HYUNDAI";"ACCENT";73256;NA;13
