"";"Price";"Year";"Make";"Model";"Mileage";"Engine";"AutoTraderPage"
"1";149900;2013;"KIA";"CERATO";65000;2;1
"2";159950;2013;"KIA";"RIO";38000;1,4;1
"3";139900;2010;"KIA";"CERATO";115958;2;1
"4";159990;2014;"KIA";"RIO";17000;1,4;1
"5";99995;2006;"KIA";"SORENTO";211000;2,5;1
"6";189900;2011;"KIA";"SPORTAGE";NA;2;1
"7";189900;2011;"KIA";"SPORTAGE";61000;2;1
"8";155000;2012;"KIA";"K2700";97236;2,7;1
"9";94900;2013;"KIA";"RIO";22000;1,4;1
"10";164995;2012;"KIA";"CERATO";41218;2;1
"11";124900;2012;"KIA";"CERATO";21000;1,6;1
"12";349900;2014;"KIA";"SPORTAGE";27000;NA;1
"13";149900;2013;"KIA";"CERATO";65000;2;2
"14";99900;2011;"KIA";"CERATO";106036;NA;2
"15";164990;2013;"KIA";"K2700";30335;2,7;2
"16";119900;2012;"KIA";"CERATO";81020;NA;2
"17";69900;2011;"KIA";"PICANTO";78641;1,1;2
"18";94950;2007;"KIA";"SORENTO";182338;3,8;2
"19";169900;2013;"KIA";"K2700";81394;2,5;2
"20";149900;2012;"KIA";"RIO";65000;1,4;2
"21";124990;2010;"KIA";"CERATO";127000;NA;2
"22";229900;2010;"KIA";"SORENTO";105000;2,2;2
"23";89800;2011;"KIA";"PICANTO";121000;1;2
"24";149900;2013;"KIA";"CERATO";65000;2;3
"25";119900;2014;"KIA";"PICANTO";28000;1,2;3
"26";129900;2013;"KIA";"RIO";104800;1,4;3
"27";84995;2011;"KIA";"PICANTO";70200;1;3
"28";154995;2013;"KIA";"RIO";38000;NA;3
"29";179990;2014;"KIA";"RIO";8000;1,4;3
"30";349000;2013;"KIA";"SPORTAGE";43400;2;3
"31";205000;2011;"KIA";"SPORTAGE";108000;NA;3
"32";79900;2010;"KIA";"CERATO";178348;1,6;3
"33";79900;2010;"KIA";"CERATO";178348;1,6;3
"34";119900;2010;"KIA";"SOUL";83000;NA;3
"35";149900;2013;"KIA";"CERATO";65000;2;4
"36";149900;2011;"KIA";"CERATO";136000;NA;4
"37";269000;2012;"KIA";"SPORTAGE";59000;2,4;4
