"";"Price";"Year";"Make";"Model";"Mileage";"Engine";"AutoTraderPage"
"1";144900;2012;"MAZDA";"6";110000;NA;1
"2";159900;2011;"MAZDA";"BT-50";249900;NA;1
"3";79900;2008;"MAZDA";"3";164800;1,6;1
"4";149900;2009;"MAZDA";"BT-50";164700;3;1
"5";139900;2009;"MAZDA";"BT-50";74000;2,5;1
"6";373000;2015;"MAZDA";"6";NA;NA;1
"7";326600;2015;"MAZDA";"CX-5";NA;NA;1
"8";69950;2008;"MAZDA";"MAZDA2";174600;1,3;1
"9";109900;2005;"MAZDA";"DRIFTER";160000;2,5;1
"10";290300;2013;"MAZDA";"BT-50";75147;3,2;1
"11";219990;2015;"MAZDA";"2";1000;NA;1
"12";144900;2012;"MAZDA";"6";110000;NA;2
"13";474313;2015;"MAZDA";"BT-50";NA;NA;2
"14";330000;2015;"MAZDA";"BT-50";17000;3,2;2
"15";128995;2012;"MAZDA";"2";35000;1,3;2
"16";99995;2006;"MAZDA";"3";155350;2;2
"17";134995;2011;"MAZDA";"3";97000;1,6;2
"18";249995;2014;"MAZDA";"6";22000;2,5;2
"19";109995;2010;"MAZDA";"2";78000;1,3;2
"20";154995;2012;"MAZDA";"3";68000;1,6;2
"21";284995;2012;"MAZDA";"BT-50";71037;2,2;2
"22";139900;2011;"MAZDA";"3";72000;1,6;2
"23";144900;2012;"MAZDA";"6";110000;NA;3
"24";149900;2011;"MAZDA";"3";51000;1,6;3
"25";89950;2008;"MAZDA";"MAZDA2";105000;1,5;3
"26";370400;2015;"MAZDA";"BT-50";NA;NA;3
"27";69990;2007;"MAZDA";"3";151000;1,6;3
"28";119900;2003;"MAZDA";"DRIFTER";313000;2,5;3
"29";119900;2008;"MAZDA";"MAZDA6";157000;2,3;3
"30";99900;2008;"MAZDA";"MAZDA3";77000;2;3
"31";289000;2013;"MAZDA";"CX-5";28000;2;3
"32";159900;2013;"MAZDA";"3";90000;NA;3
"33";134900;2010;"MAZDA";"5";87500;NA;3
"34";144900;2012;"MAZDA";"6";110000;NA;4
"35";119900;2004;"MAZDA";"DRIFTER";NA;2,5;4
"36";359900;2013;"MAZDA";"BT-50";NA;3,2;4
"37";79990;2008;"MAZDA";"3";183121;1,6;4
"38";219990;2015;"MAZDA";"2";1000;NA;4
"39";105000;2007;"MAZDA";"DRIFTER";160000;NA;4
"40";64950;2007;"MAZDA";"MAZDA5";NA;2;4
"41";115990;2011;"MAZDA";"2";75000;NA;4
"42";109990;2010;"MAZDA";"2";78000;NA;4
"43";89999;2011;"MAZDA";"3";NA;1,6;4
"44";99995;2008;"MAZDA";"6";152000;2,5;4
"45";144900;2012;"MAZDA";"6";110000;NA;5
"46";89950;2009;"MAZDA";"MAZDA2";85000;1,5;5
"47";179900;2011;"MAZDA";"BT-50";86000;3;5
"48";205900;2015;"MAZDA";"MAZDA2";500;1,5;5
"49";199900;2015;"MAZDA";"MAZDA2";500;1,5;5
"50";209900;2011;"MAZDA";"BT-50";26000;2,5;5
"51";149995;2010;"MAZDA";"MAZDA5";76200;2;5
"52";269950;2013;"MAZDA";"BT-50";52382;NA;5
"53";139500;2010;"MAZDA";"BT-50";189000;NA;5
"54";219990;2015;"MAZDA";"2";1000;NA;5
"55";139899;2008;"MAZDA";"BT-50";147500;3;5
"56";144900;2012;"MAZDA";"6";110000;NA;6
"57";149950;2013;"MAZDA";"3";35000;1,6;6
"58";94950;2009;"MAZDA";"MAZDA2";60000;1,3;6
"59";184900;2011;"MAZDA";"BT-50";119402;3;6
"60";174900;2009;"MAZDA";"BT-50";163209;3;6
"61";124000;2010;"MAZDA";"CX-7";139000;2,3;6
"62";159900;2007;"MAZDA";"BT-50";131000;3;6
"63";129950;2011;"MAZDA";"MAZDA2";41600;1,5;6
"64";310000;2013;"MAZDA";"BT-50";73000;3,2;6
"65";329000;2015;"MAZDA";"BT-50";20000;3,2;6
"66";89900;2001;"MAZDA";"DRIFTER";217000;NA;6
"67";144900;2012;"MAZDA";"6";110000;NA;7
"68";129990;2012;"MAZDA";"MAZDA2";56000;1,3;7
"69";135000;2011;"MAZDA";"MAZDA3";84095;3;7
"70";109990;2005;"MAZDA";"DRIFTER";177500;2,6;7
"71";129899;2010;"MAZDA";"6";225000;2;7
"72";279899;2015;"MAZDA";"3";1000;2;7
"73";389900;2015;"MAZDA";"BT-50";1000;3,2;7
"74";189899;2012;"MAZDA";"CX-5";101000;2;7
"75";239899;2015;"MAZDA";"3";1000;1,6;7
"76";185899;2015;"MAZDA";"2";1000;1,5;7
"77";379900;2015;"MAZDA";"CX-5";1000;2,5;7
"78";144900;2012;"MAZDA";"6";110000;NA;8
"79";199899;2015;"MAZDA";"3";10000;1,6;8
"80";205086;2015;"MAZDA";"2";1000;1,5;8
"81";219899;2015;"MAZDA";"3";17000;1,6;8
"82";219900;2014;"MAZDA";"3";30000;2;8
"83";229899;2015;"MAZDA";"3";2500;1,6;8
"84";279911;2015;"MAZDA";"MAZDA5";2500;NA;8
"85";289899;2014;"MAZDA";"6";23000;2,5;8
"86";353286;2015;"MAZDA";"6";15000;2,5;8
"87";319900;2014;"MAZDA";"6";15000;2,2;8
"88";189900;2012;"MAZDA";"BT-50";101500;3;8
"89";144900;2012;"MAZDA";"6";110000;NA;9
"90";139899;2010;"MAZDA";"6";95000;2;9
"91";49500;2002;"MAZDA";"323";242000;1,3;9
"92";129950;2009;"MAZDA";"MAZDA3";129000;1,6;9
"93";49500;2003;"MAZDA";"323";215000;1,3;9
"94";1e+05;2008;"MAZDA";"MAZDA6";98000;NA;9
"95";119900;2012;"MAZDA";"MAZDA2";50190;1,3;9
"96";139900;2011;"MAZDA";"MAZDA3";95000;NA;9
"97";119900;2012;"MAZDA";"MAZDA2";77000;1,3;9
"98";155950;2009;"MAZDA";"MAZDA3";69080;2,3;9
"99";159950;2012;"MAZDA";"6";64909;2;9
"100";144900;2012;"MAZDA";"6";110000;NA;10
"101";159950;2010;"MAZDA";"MAZDA3";96064;2;10
"102";109950;2007;"MAZDA";"DRIFTER";258800;2,5;10
"103";129950;2009;"MAZDA";"3";94100;1,6;10
"104";384995;2014;"MAZDA";"DRIFTER";7100;NA;10
"105";279900;2013;"MAZDA";"BT-50";34000;NA;10
"106";145990;2011;"MAZDA";"3";44000;NA;10
"107";84950;2006;"MAZDA";"MAZDA";172000;NA;10
"108";NA;2006;"MAZDA";"MAZDA";172000;NA;10
"109";189990;2010;"MAZDA";"BT-50";NA;3;10
"110";179990;1995;"MAZDA";"RX-8";127000;1,3;10
"111";139950;2004;"MAZDA";"RX-8";114512;1,3;10
"112";144900;2012;"MAZDA";"6";110000;NA;11
"113";95900;2010;"MAZDA";"2";97500;NA;11
"114";159900;2010;"MAZDA";"MAZDA5";109000;2;11
"115";129900;2010;"MAZDA";"3";93000;NA;11
"116";119989;2009;"MAZDA";"5";100800;2;11
"117";159995;2010;"MAZDA";"MAZDA5";116900;NA;11
"118";129990;2000;"MAZDA";"DRIFTER";144000;2,5;11
"119";109900;2008;"MAZDA";"6";187000;NA;11
"120";159000;2009;"MAZDA";"CX-7";85000;NA;11
"121";134900;2010;"MAZDA";"3";55700;1,6;11
"122";134900;2010;"MAZDA";"3";55700;1,6;11
"123";144900;2012;"MAZDA";"6";110000;NA;12
"124";189900;2012;"MAZDA";"BT-50";105000;2,2;12
"125";109950;2001;"MAZDA";"MX-5";213245;NA;12
"126";109950;2007;"MAZDA";"DRIFTER";258800;2,5;12
"127";69950;2005;"MAZDA";"MAZDA3";207000;2;12
"128";189990;2013;"MAZDA";"5";59800;NA;12
"129";129800;2005;"MAZDA";"MX-5";128167;NA;12
"130";155000;2007;"MAZDA";"BT-50";196000;NA;12
"131";219900;2011;"MAZDA";"BT-50";123000;3;12
"132";249900;2013;"MAZDA";"MX-5";37895;2;12
"133";89900;2007;"MAZDA";"MAZDA6";127226;2,3;12
"134";144900;2012;"MAZDA";"6";110000;NA;13
"135";89900;2007;"MAZDA";"MAZDA6";127226;2,3;13
"136";109900;2011;"MAZDA";"MAZDA2";58000;1,3;13
"137";74900;2008;"MAZDA";"MAZDA2";94822;1,3;13
"138";129900;2012;"MAZDA";"MAZDA2";59000;1,3;13
"139";189900;2012;"MAZDA";"BT-50";187000;3;13
"140";329900;2014;"MAZDA";"BT-50";35200;3,2;13
"141";115900;2012;"MAZDA";"MAZDA2";55000;1,3;13
"142";178990;2011;"MAZDA";"BT-50";NA;3;13
"143";118990;2008;"MAZDA";"BT-50";NA;3;13
"144";229950;2013;"MAZDA";"5";32679;NA;13
"145";144900;2012;"MAZDA";"6";110000;NA;14
"146";139950;2014;"MAZDA";"MAZDA2";37000;1,3;14
"147";109990;2005;"MAZDA";"DRIFTER";216356;2,5;14
"148";89950;2008;"MAZDA";"MAZDA2";66452;NA;14
"149";389900;2014;"MAZDA";"BT-50";44259;NA;14
"150";329950;2013;"MAZDA";"BT-50";30000;3,2;14
"151";169995;2009;"MAZDA";"MAZDA6";69975;2,5;14
"152";159000;2012;"MAZDA";"MAZDA5";63000;2;14
"153";139900;2012;"MAZDA";"MAZDA3";98000;1,6;14
"154";269990;2012;"MAZDA";"BT-50";82059;NA;14
"155";159900;2011;"MAZDA";"5";145252;NA;14
"156";144900;2012;"MAZDA";"6";110000;NA;15
"157";109990;2012;"MAZDA";"3";152591;NA;15
"158";119990;2011;"MAZDA";"3";71807;NA;15
"159";79900;2009;"MAZDA";"MAZDA3";NA;1,6;15
"160";159900;2008;"MAZDA";"BT-50";168000;3;15
"161";149900;2012;"MAZDA";"3";93400;1,6;15
"162";79990;2008;"MAZDA";"MAZDA2";81000;1,3;15
"163";288500;2015;"MAZDA";"BT-50";1000;NA;15
"164";105000;2009;"MAZDA";"BT-50";108000;2,5;15
"165";349995;2013;"MAZDA";"BT-50";48000;NA;15
"166";139950;2009;"MAZDA";"MAZDA3";126425;2;15
"167";144900;2012;"MAZDA";"6";110000;NA;16
"168";149900;2011;"MAZDA";"MAZDA3";65500;1,6;16
"169";124900;2010;"MAZDA";"3";138000;NA;16
"170";229900;2011;"MAZDA";"BT-50";72000;3;16
"171";148000;2014;"MAZDA";"MAZDA3";25000;1,6;16
"172";75000;2008;"MAZDA";"MAZDA2";78000;NA;16
"173";144899;2013;"MAZDA";"3";48316;1,6;16
"174";144950;2010;"MAZDA";"3";25000;1,6;16
"175";129990;2008;"MAZDA";"BT-50";178000;2,5;16
"176";269900;2013;"MAZDA";"BT-50";78000;3,2;16
"177";179900;2014;"MAZDA";"3";21000;1,6;16
"178";144900;2012;"MAZDA";"6";110000;NA;17
"179";288500;2015;"MAZDA";"BT-50";1000;NA;17
"180";119990;2011;"MAZDA";"2";49609;NA;17
"181";99000;2008;"MAZDA";"6";180000;NA;17
"182";109900;2009;"MAZDA";"3";109000;NA;17
"183";69900;2008;"MAZDA";"MAZDA3";101000;NA;17
"184";99000;2011;"MAZDA";"MAZDA3";71000;NA;17
"185";109900;2010;"MAZDA";"MAZDA2";85100;1,3;17
"186";85000;2008;"MAZDA";"MAZDA2";120000;1,5;17
"187";104900;2010;"MAZDA";"MAZDA2";76400;1,3;17
"188";132000;2014;"MAZDA";"MAZDA2";37000;1,3;17
"189";144900;2012;"MAZDA";"6";110000;NA;18
"190";149999;2010;"MAZDA";"MAZDA3";44000;1,6;18
"191";115990;2011;"MAZDA";"MAZDA2";53300;1,3;18
"192";319950;2015;"MAZDA";"MX-5";500;NA;18
"193";79900;2004;"MAZDA";"B2600I";NA;2,6;18
