"";"Price";"Year";"Make";"Model";"Mileage";"Engine";"AutoTraderPage"
"1";324900;2012;"MERCEDES-BENZ";"C-CLASS";92000;NA;1
"2";369995;2010;"MERCEDES-BENZ";"E-CLASS";65000;NA;1
"3";468900;2015;"MERCEDES-BENZ";"C-CLASS";7900;2;1
"4";269900;2011;"MERCEDES-BENZ";"C-CLASS";80000;NA;1
"5";578900;2015;"MERCEDES-BENZ";"C-CLASS";7900;2,2;1
"6";389990;2014;"MERCEDES-BENZ";"C-CLASS";22500;1,8;1
"7";438900;2015;"MERCEDES-BENZ";"C-CLASS";4200;1,6;1
"8";359900;2014;"MERCEDES-BENZ";"CLA";13000;NA;1
"9";149950;2010;"MERCEDES-BENZ";"A-CLASS";46000;1,8;1
"10";439900;2012;"MERCEDES-BENZ";"ML-CLASS";83452;3;1
"11";458900;2015;"MERCEDES-BENZ";"C-CLASS";7900;1,6;1
"12";324900;2012;"MERCEDES-BENZ";"C-CLASS";92000;NA;2
"13";339900;2014;"MERCEDES-BENZ";"A-CLASS";19000;NA;2
"14";299000;2011;"MERCEDES";"BENZ";83500;NA;2
"15";477900;2015;"MERCEDES-BENZ";"C-CLASS";8100;1,6;2
"16";389990;2014;"MERCEDES-BENZ";"C-CLASS";16000;1,8;2
"17";478800;2015;"MERCEDES-BENZ";"C-CLASS";8100;1,6;2
"18";179900;2010;"MERCEDES-BENZ";"C-CLASS";127800;2;2
"19";179900;2010;"MERCEDES-BENZ";"C-CLASS";127800;2;2
"20";179900;2010;"MERCEDES-BENZ";"C-CLASS";127800;2;2
"21";189990;2011;"MERCEDES-BENZ";"C-CLASS";NA;1,8;2
"22";549950;2010;"MERCEDES-BENZ";"GL";80000;5,5;2
"23";324900;2012;"MERCEDES-BENZ";"C-CLASS";92000;NA;3
"24";179900;2010;"MERCEDES-BENZ";"C-CLASS";127800;2;3
"25";179900;2010;"MERCEDES-BENZ";"C-CLASS";127800;2;3
"26";209990;2005;"MERCEDES-BENZ";"SLK-CLASS";99800;3,5;3
"27";139995;2007;"MERCEDES-BENZ";"C-CLASS";175000;2;3
"28";219500;2010;"MERCEDES-BENZ";"C-CLASS";49000;1,8;3
"29";199990;2010;"MERCEDES-BENZ";"C-CLASS";130000;1,8;3
"30";354900;2014;"MERCEDES-BENZ";"CLA";18000;NA;3
"31";359900;2014;"MERCEDES-BENZ";"C-CLASS";14000;NA;3
"32";334900;2014;"MERCEDES-BENZ";"B-CLASS";17000;NA;3
"33";189800;2009;"MERCEDES-BENZ";"CLC";87125;2;3
"34";324900;2012;"MERCEDES-BENZ";"C-CLASS";92000;NA;4
"35";174800;2009;"MERCEDES-BENZ";"C-CLASS";119094;2;4
"36";215000;2007;"MERCEDES-BENZ";"SLK-CLASS";56600;3,5;4
"37";230000;2012;"MERCEDES-BENZ";"C-CLASS";87800;2;4
"38";89800;2007;"MERCEDES-BENZ";"A-CLASS";141565;1,7;4
"39";199800;2006;"MERCEDES-BENZ";"ML-CLASS";181453;3,5;4
"40";445000;2014;"MERCEDES-BENZ";"C-CLASS";15000;1,8;4
"41";445000;2014;"MERCEDES-BENZ";"C-CLASS";15500;2,5;4
"42";485000;2014;"MERCEDES-BENZ";"C-CLASS";15500;2,5;4
