"";"Price";"Year";"Make";"Model";"Mileage";"Engine";"AutoTraderPage"
"1";119900;2014;"NISSAN";"MICRA";81500;NA;1
"2";89950;2005;"NISSAN";"X";173390;2,5;1
"3";109950;2007;"NISSAN";"HARDBODY";191900;2,4;1
"4";129800;2010;"NISSAN";"NP200";151850;1,5;1
"5";259995;2011;"NISSAN";"NAVARA";98000;2,5;1
"6";89990;2011;"NISSAN";"MICRA";52000;1,2;1
"7";319900;2015;"NISSAN";"QASHQAI";5500;NA;1
"8";79900;2011;"NISSAN";"NP200";165000;NA;1
"9";389000;2012;"NISSAN";"PATROL";139000;4,8;1
"10";179995;2014;"NISSAN";"SENTRA";6958;NA;1
"11";179995;2014;"NISSAN";"SENTRA";2959;NA;1
"12";119900;2014;"NISSAN";"MICRA";81500;NA;2
"13";179995;2014;"NISSAN";"SENTRA";8018;NA;2
"14";179995;2014;"NISSAN";"SENTRA";15647;NA;2
"15";179995;2014;"NISSAN";"SENTRA";8781;NA;2
"16";71500;2009;"NISSAN";"NP200";204100;NA;2
"17";399950;2014;"NISSAN";"NAVARA";26500;2,5;2
"18";149950;2012;"NISSAN";"HARDBODY";99000;2,4;2
"19";59950;1997;"NISSAN";"SANI";178000;3;2
"20";339900;2015;"NISSAN";"QASHQAI";7500;NA;2
"21";144900;2013;"NISSAN";"NP200";73000;1,6;2
"22";147068;2014;"NISSAN";"NP200";174990;NA;2
"23";119900;2014;"NISSAN";"MICRA";81500;NA;3
"24";184990;2014;"NISSAN";"NP200";26895;NA;3
"25";49950;2006;"NISSAN";"1400";86385;1;3
"26";169900;2012;"NISSAN";"QASHQAI";47000;1,6;3
"27";115600;2012;"NISSAN";"TIIDA";34900;1,6;3
"28";98950;2011;"NISSAN";"MICRA";116409;1,2;3
"29";109950;2010;"NISSAN";"NP200";104000;1,6;3
"30";229900;2013;"NISSAN";"QASHQAI";43000;2;3
"31";219900;2012;"NISSAN";"QASHQAI";32000;2;3
"32";219950;2012;"NISSAN";"NP300";36194;2,5;3
"33";106950;2012;"NISSAN";"NP200";102806;NA;3
"34";119900;2014;"NISSAN";"MICRA";81500;NA;4
"35";159900;2015;"NISSAN";"ALMERA";19200;1,5;4
"36";299900;2012;"NISSAN";"NAVARA";49998;NA;4
"37";89990;2010;"NISSAN";"NP200";140532;NA;4
"38";199990;2014;"NISSAN";"QASHQAI";52409;NA;4
"39";159000;2010;"NISSAN";"X-TRAIL";142000;NA;4
"40";129900;2008;"NISSAN";"NP300";1e+05;NA;4
"41";399900;2015;"NISSAN";"X-TRAIL";3360;NA;4
"42";146836;2015;"NISSAN";"NP200";500;NA;4
"43";144743;2015;"NISSAN";"NP200";500;NA;4
"44";145032;2015;"NISSAN";"NP200";1000;NA;4
"45";119900;2014;"NISSAN";"MICRA";81500;NA;5
"46";159486;2014;"NISSAN";"NP200";16731;NA;5
"47";104900;2010;"NISSAN";"LIVINA";109986;NA;5
"48";290000;2014;"NISSAN";"QASHQAI";13000;1,2;5
"49";139500;2015;"NISSAN";"NP200";100;NA;5
"50";159950;2015;"NISSAN";"QASHQAI";36000;NA;5
"51";229500;2015;"NISSAN";"QASHQAI";17000;NA;5
"52";239950;2015;"NISSAN";"NV200";100;NA;5
"53";79900;2004;"NISSAN";"X-TRAIL";204000;NA;5
"54";154950;2015;"NISSAN";"NP300";44;NA;5
"55";145000;2015;"NISSAN";"NP200";9000;1,6;5
