"";"Price";"Year";"Make";"Model";"Mileage";"Engine";"AutoTraderPage"
"1";149951;2013;"PEUGEOT";"208";32000;NA;1
"2";149951;2013;"PEUGEOT";"208";32000;NA;1
"3";179995;2014;"PEUGEOT";"PARTNER";31000;1,6;1
"4";59900;2007;"PEUGEOT";"207";66000;1,4;1
"5";127900;2012;"PEUGEOT";"208";37000;1,2;1
"6";129000;2007;"PEUGEOT";"407";60000;1;1
"7";229950;2014;"PEUGEOT";"3008";16163;NA;1
"8";59500;2007;"PEUGEOT";"206";95500;NA;1
"9";199900;2014;"PEUGEOT";"208";8000;1,6;1
"10";109999;2009;"PEUGEOT";"207";120300;1,6;1
"11";65000;2011;"PEUGEOT";"107";115000;NA;1
"12";149951;2013;"PEUGEOT";"208";32000;NA;2
"13";349900;2015;"PEUGEOT";"BOXER";1470;2,2;2
"14";199900;2010;"PEUGEOT";"3008";69688;2;2
"15";219999;2014;"PEUGEOT";"2008";5000;1,6;2
"16";239950;2012;"PEUGEOT";"508";52400;1,6;2
"17";249950;2013;"PEUGEOT";"3008";50000;2;2
"18";89995;2007;"PEUGEOT";"207";135000;1,6;2
"19";134900;2012;"PEUGEOT";"308";49000;1,6;2
"20";39950;2004;"PEUGEOT";"206";160000;1,4;2
"21";119990;2009;"PEUGEOT";"308";76000;1,6;2
"22";116950;2006;"PEUGEOT";"307";125000;2;2
"23";149951;2013;"PEUGEOT";"208";32000;NA;3
"24";69995;2009;"PEUGEOT";"207";71031;1,6;3
"25";70000;2013;"PEUGEOT";"107";21700;NA;3
"26";109899;2012;"PEUGEOT";"207";127000;1,6;3
"27";129950;2010;"PEUGEOT";"3008";95000;1,6;3
"28";109990;2010;"PEUGEOT";"308";79000;1,6;3
"29";129000;2010;"PEUGEOT";"3008";56000;NA;3
"30";219900;2012;"PEUGEOT";"308";109000;1,6;3
"31";79950;2010;"PEUGEOT";"207";98000;NA;3
"32";214995;2015;"PEUGEOT";"208";5500;1,6;3
"33";96900;2013;"PEUGEOT";"107";31800;1;3
"34";149951;2013;"PEUGEOT";"208";32000;NA;4
"35";199999;2013;"PEUGEOT";"208";62000;NA;4
"36";99950;2008;"PEUGEOT";"207";82143;NA;4
"37";84995;2010;"PEUGEOT";"207";64000;NA;4
"38";110400;2012;"PEUGEOT";"207";45200;1,4;4
"39";84900;2012;"PEUGEOT";"207";81258;NA;4
"40";80000;2004;"PEUGEOT";"307";208000;NA;4
"41";59900;2009;"PEUGEOT";"207";164954;1,4;4
"42";NA;2014;"PEUGEOT";"208";4055;1;4
"43";169950;2011;"PEUGEOT";"3008";100900;1,6;4
"44";89900;2012;"PEUGEOT";"207";50000;1,4;4
"45";149951;2013;"PEUGEOT";"208";32000;NA;5
"46";119000;2011;"PEUGEOT";"308";42000;1,6;5
"47";229950;2012;"PEUGEOT";"508";52400;1,6;5
"48";104995;2011;"PEUGEOT";"207";38000;1,4;5
"49";69950;2011;"PEUGEOT";"107";117000;1;5
"50";79900;2004;"PEUGEOT";"206";86308;1,6;5
"51";129900;2010;"PEUGEOT";"3008";98000;1,6;5
"52";124950;2014;"PEUGEOT";"107";8540;1;5
"53";99900;2010;"PEUGEOT";"207";90000;1,6;5
"54";83500;2013;"PEUGEOT";"107";28000;NA;5
"55";84950;2010;"PEUGEOT";"107";33000;1;5
"56";149951;2013;"PEUGEOT";"208";32000;NA;6
"57";139950;2010;"PEUGEOT";"308";72000;1,6;6
"58";64990;2006;"PEUGEOT";"206";162000;1,8;6
"59";44900;2006;"PEUGEOT";"1007";165000;NA;6
"60";59900;2009;"PEUGEOT";"107";80000;1;6
"61";105000;2008;"PEUGEOT";"407";108000;NA;6
"62";110000;2011;"PEUGEOT";"207";71000;NA;6
"63";124995;2010;"PEUGEOT";"3008";82700;1,6;6
"64";249000;2012;"PEUGEOT";"308";46284;NA;6
"65";55000;2008;"PEUGEOT";"207";115000;1,6;6
"66";68286;2007;"PEUGEOT";"107";78432;NA;6
"67";149951;2013;"PEUGEOT";"208";32000;NA;7
"68";129990;2013;"PEUGEOT";"308";23580;NA;7
"69";99900;2007;"PEUGEOT";"207";56900;NA;7
"70";89990;2011;"PEUGEOT";"207";74000;1,4;7
"71";56000;2008;"PEUGEOT";"207";96500;NA;7
"72";277900;2015;"PEUGEOT";"2008";20;1,6;7
"73";69000;2007;"PEUGEOT";"307";123000;NA;7
"74";84900;2012;"PEUGEOT";"207";89000;1,4;7
"75";159900;2013;"PEUGEOT";"208";22000;1,6;7
"76";229900;2011;"PEUGEOT";"RCZ";54000;1,6;7
"77";399950;2014;"PEUGEOT";"RCZ";22925;NA;7
"78";149951;2013;"PEUGEOT";"208";32000;NA;8
"79";115990;2012;"PEUGEOT";"207";59243;1,4;8
"80";104900;2012;"PEUGEOT";"207";NA;1,4;8
"81";104900;2012;"PEUGEOT";"207";70000;1,4;8
"82";49900;2004;"PEUGEOT";"307";NA;NA;8
"83";179000;2011;"PEUGEOT";"3008";92000;2;8
"84";145000;2013;"PEUGEOT";"208";26600;NA;8
"85";129900;2010;"PEUGEOT";"3008";82500;1,6;8
"86";149900;2010;"PEUGEOT";"308";85000;1,6;8
"87";114990;2011;"PEUGEOT";"3008";94000;NA;8
"88";159900;2013;"PEUGEOT";"208";14000;1,6;8
"89";159900;2010;"PEUGEOT";"308";48000;1,6;8
"90";149951;2013;"PEUGEOT";"208";32000;NA;9
"91";64950;2010;"PEUGEOT";"107";53000;1;9
"92";49900;2008;"PEUGEOT";"206";116000;NA;9
"93";149900;2013;"PEUGEOT";"208";82000;1,6;9
"94";149900;2012;"PEUGEOT";"5008";99000;1,6;9
"95";119900;2013;"PEUGEOT";"208";91000;1,2;9
"96";38000;2002;"PEUGEOT";"206";2e+05;1,6;9
"97";39000;2003;"PEUGEOT";"206";196680;NA;9
"98";159900;2012;"PEUGEOT";"508";70036;NA;9
"99";84995;2014;"PEUGEOT";"107";2800;NA;9
"100";199900;2012;"PEUGEOT";"3008";70000;1,6;9
"101";149951;2013;"PEUGEOT";"208";32000;NA;10
"102";249900;2014;"PEUGEOT";"208";17000;1,6;10
"103";149900;2013;"PEUGEOT";"208";27000;1,2;10
"104";239900;2014;"PEUGEOT";"208";10800;1,6;10
"105";219900;2014;"PEUGEOT";"2008";30000;1,6;10
"106";189900;2012;"PEUGEOT";"RCZ";76000;NA;10
"107";299900;2014;"PEUGEOT";"508";17000;1,6;10
"108";269995;2013;"PEUGEOT";"RCZ";23200;1,6;10
"109";49900;2002;"PEUGEOT";"206";NA;NA;10
"110";145000;2010;"PEUGEOT";"3008";117000;NA;10
"111";125995;2008;"PEUGEOT";"BOXER";230000;2,2;10
"112";149951;2013;"PEUGEOT";"208";32000;NA;11
"113";148500;2012;"PEUGEOT";"308";97300;1,6;11
"114";79950;2011;"PEUGEOT";"308";103000;1,6;11
"115";209950;2013;"PEUGEOT";"508";21662;NA;11
"116";165000;2014;"PEUGEOT";"PARTNER";18781;NA;11
"117";279950;2014;"PEUGEOT";"508";46267;NA;11
"118";310000;2014;"PEUGEOT";"3008";31145;NA;11
"119";159950;2012;"PEUGEOT";"308";120000;1,6;11
"120";124990;2012;"PEUGEOT";"207";50000;1,4;11
"121";59990;2005;"PEUGEOT";"1007";119000;1,6;11
"122";159950;2012;"PEUGEOT";"308";13286;NA;11
"123";149951;2013;"PEUGEOT";"208";32000;NA;12
"124";195950;2012;"PEUGEOT";"508";14138;NA;12
"125";149000;2011;"PEUGEOT";"5008";NA;2;12
"126";129990;2012;"PEUGEOT";"207";29000;1,4;12
"127";154995;2013;"PEUGEOT";"308";59240;1,6;12
"128";389900;2013;"PEUGEOT";"4008";12000;2;12
"129";289900;2013;"PEUGEOT";"RCZ";40000;1,6;12
