"";"Price";"Year";"Make";"Model";"Mileage";"Engine";"AutoTraderPage"
"1";149900;2012;"RENAULT";"KOLEOS";100622;NA;1
"2";179900;2013;"RENAULT";"MEGANE";32000;NA;1
"3";119900;2013;"RENAULT";"SANDERO";46500;NA;1
"4";124950;2013;"RENAULT";"CLIO";63000;0,9;1
"5";149995;2010;"RENAULT";"SCENIC";117000;1,9;1
"6";125000;2011;"RENAULT";"MEGANE";NA;1,6;1
"7";129995;2012;"RENAULT";"MEGANE";52828;1,6;1
"8";149900;2013;"RENAULT";"CLIO";56000;0,9;1
"9";199900;2014;"RENAULT";"CLIO";11000;0,9;1
"10";109900;2010;"RENAULT";"CLIO";85000;1,6;1
"11";110000;2010;"RENAULT";"SCENIC";66760;NA;1
"12";149900;2012;"RENAULT";"KOLEOS";100622;NA;2
"13";139900;2009;"RENAULT";"KOLEOS";93500;NA;2
"14";139950;2010;"RENAULT";"KOLEOS";61965;2,5;2
"15";239000;2015;"RENAULT";"DUSTER";4000;1,5;2
"16";145000;2013;"RENAULT";"CLIO";60000;0,9;2
"17";44900;2006;"RENAULT";"CLIO";98961;NA;2
"18";249900;2012;"RENAULT";"MEGANE";75000;2;2
"19";155000;2011;"RENAULT";"MEGANE";50000;NA;2
"20";74900;2010;"RENAULT";"SANDERO";65000;1,6;2
"21";104900;2012;"RENAULT";"CLIO";52000;1,6;2
"22";199900;2012;"RENAULT";"KOLEOS";47300;2,5;2
"23";149900;2012;"RENAULT";"KOLEOS";100622;NA;3
"24";68000;2011;"RENAULT";"SANDERO";47800;1,6;3
"25";65900;2010;"RENAULT";"SANDERO";71000;1,6;3
"26";154000;2011;"RENAULT";"CLIO";74000;2;3
"27";175000;2013;"RENAULT";"14";27001;1,6;3
"28";99900;2010;"RENAULT";"MEGANE";133321;1,6;3
"29";84999;2011;"RENAULT";"SANDERO";68450;NA;3
"30";74900;2006;"RENAULT";"SCENIC";89000;1,6;3
"31";149900;2010;"RENAULT";"GRAND";76500;NA;3
"32";79950;2009;"RENAULT";"SANDERO";95000;1,6;3
"33";89900;2013;"RENAULT";"SANDERO";67000;1,6;3
"34";149900;2012;"RENAULT";"KOLEOS";100622;NA;4
"35";99900;2013;"RENAULT";"SANDERO";45000;NA;4
"36";179900;2014;"RENAULT";"DUSTER";11000;1,6;4
"37";165000;2014;"RENAULT";"CLIO";21500;NA;4
"38";218900;2015;"RENAULT";"CLIO";NA;0,9;4
"39";209900;2011;"RENAULT";"MEGANE";60000;2;4
"40";99900;2013;"RENAULT";"SANDERO";31000;NA;4
"41";124900;2012;"RENAULT";"FLUENCE";58241;1,6;4
"42";38900;2006;"RENAULT";"CLIO";221504;1,4;4
"43";89950;2011;"RENAULT";"SANDERO";101000;1,6;4
"44";149900;2013;"RENAULT";"CLIO";53217;NA;4
"45";149900;2012;"RENAULT";"KOLEOS";100622;NA;5
"46";94990;2008;"RENAULT";"CLIO";115000;2;5
"47";329900;2015;"RENAULT";"CLIO";3800;NA;5
"48";49999;2000;"RENAULT";"SCENIC";229300;1,4;5
"49";189950;2014;"RENAULT";"CLIO";15800;0,9;5
"50";104950;2013;"RENAULT";"SANDERO";43900;1,6;5
"51";99950;2008;"RENAULT";"SCENIC";63000;2;5
"52";36000;2001;"RENAULT";"CLIO";273668;1;5
"53";69995;2005;"RENAULT";"MEGANE";2e+05;1,6;5
"54";74900;2012;"RENAULT";"SANDERO";71700;1,4;5
