"";"Price";"Year";"Make";"Model";"Mileage";"Engine";"AutoTraderPage"
"1";149990;2009;"SUBARU";"FORESTER";170000;2,5;1
"2";239995;2012;"SUBARU";"FORESTER";77000;2;1
"3";129000;2004;"SUBARU";"IMPREZA";143400;2;1
"4";239000;2012;"SUBARU";"OUTBACK";93000;2,5;1
"5";259995;2012;"SUBARU";"FORESTER";58100;2;1
"6";349950;2014;"SUBARU";"BRZ";11917;2;1
"7";349950;2014;"SUBARU";"FORESTER";15735;2,5;1
"8";349950;2014;"SUBARU";"FORESTER";22454;2,5;1
"9";330000;2012;"SUBARU";"IMPREZA";44000;2;1
"10";159990;2010;"SUBARU";"FORESTER";148000;2,5;1
"11";268500;2013;"SUBARU";"XV";61900;2;1
"12";149990;2009;"SUBARU";"FORESTER";170000;2,5;2
"13";195000;2008;"SUBARU";"FORESTER";92288;2,5;2
"14";189900;2007;"SUBARU";"IMPREZA";83169;NA;2
"15";59900;2004;"SUBARU";"FORESTER";161000;2,5;2
"16";69990;2004;"SUBARU";"FORESTER";115194;NA;2
"17";189900;2011;"SUBARU";"FORESTER";78000;2,5;2
"18";90000;2006;"SUBARU";"FORESTER";150000;NA;2
"19";169900;2009;"SUBARU";"FORESTER";77000;NA;2
"20";509000;2015;"SUBARU";"OUTBACK";3000;3,6;2
"21";119950;2007;"SUBARU";"FORESTER";149600;2,5;2
"22";119950;2004;"SUBARU";"WRX";160000;2;2
"23";149990;2009;"SUBARU";"FORESTER";170000;2,5;3
"24";199995;2007;"SUBARU";"IMPREZA";128000;2;3
"25";50000;2001;"SUBARU";"FORESTER";326000;NA;3
"26";249000;2012;"SUBARU";"IMPREZA";31000;NA;3
"27";215900;2010;"SUBARU";"WRX";70000;NA;3
"28";129950;2009;"SUBARU";"IMPREZA";30300;2;3
"29";109995;2005;"SUBARU";"OUTBACK";125000;3;3
"30";169900;2012;"SUBARU";"FORESTER";56000;NA;3
"31";99950;2007;"SUBARU";"FORESTER";136623;2,5;3
"32";114950;2007;"SUBARU";"FORESTER";97297;2,5;3
"33";99900;2004;"SUBARU";"FORESTER";117530;2,5;3
"34";149990;2009;"SUBARU";"FORESTER";170000;2,5;4
"35";159950;2010;"SUBARU";"FORESTER";NA;2,5;4
"36";379950;2015;"SUBARU";"FORESTER";3200;2,5;4
"37";129900;2008;"SUBARU";"FORESTER";123848;2,5;4
"38";279000;2014;"SUBARU";"XV";10000;NA;4
"39";99890;2009;"SUBARU";"FORESTER";278000;2,5;4
"40";169990;2008;"SUBARU";"TRIBECA";99500;NA;4
"41";219000;2009;"SUBARU";"OUTBACK";93000;2,5;4
"42";439000;2014;"SUBARU";"FORESTER";52000;2,5;4
"43";199000;2011;"SUBARU";"OUTBACK";110000;2,5;4
"44";169000;2010;"SUBARU";"FORESTER";113000;2,5;4
"45";149990;2009;"SUBARU";"FORESTER";170000;2,5;5
"46";169900;2010;"SUBARU";"FORESTER";82000;2,5;5
"47";198999;2010;"SUBARU";"IMPREZA";90700;2,5;5
"48";319900;2010;"SUBARU";"IMPREZA";62000;2,5;5
"49";179900;2009;"SUBARU";"FORESTER";94000;NA;5
"50";229500;2010;"See";"10";71600;2,5;5
"51";199950;2012;"SUBARU";"XV";48317;2;5
"52";209950;2012;"SUBARU";"XV";74643;2;5
"53";189950;2008;"SUBARU";"FORESTER";154931;NA;5
"54";199995;2010;"SUBARU";"IMPREZA";120000;NA;5
"55";66000;2008;"SUBARU";"IMPREZA";116600;1,6;5
"56";149990;2009;"SUBARU";"FORESTER";170000;2,5;6
"57";234950;2011;"SUBARU";"FORESTER";65000;2;6
"58";109950;2007;"SUBARU";"OUTBACK";176117;2,5;6
"59";89990;2009;"SUBARU";"IMPREZA";104000;2;6
"60";149995;2008;"SUBARU";"OUTBACK";189000;3;6
"61";179500;2011;"SUBARU";"OUTBACK";101480;2,5;6
"62";284950;2014;"SUBARU";"XV";15471;2;6
"63";449950;2015;"SUBARU";"OUTBACK";7453;2,5;6
"64";386200;2015;"SUBARU";"FORESTER";101;2,5;6
"65";386200;2015;"SUBARU";"FORESTER";101;2,5;6
"66";149950;2009;"SUBARU";"FORESTER";128243;2,5;6
"67";149990;2009;"SUBARU";"FORESTER";170000;2,5;7
"68";299950;2015;"SUBARU";"XV";5434;2;7
"69";289950;2015;"SUBARU";"XV";6788;2;7
"70";399000;2015;"SUBARU";"FORESTER";40;2,5;7
"71";360000;2015;"SUBARU";"FORESTER";40;2,5;7
"72";189950;2011;"SUBARU";"OUTBACK";76000;2,5;7
"73";159000;2009;"SUBARU";"FORESTER";152000;2,5;7
"74";389000;2014;"SUBARU";"WRX";13500;2;7
"75";510000;2015;"SUBARU";"FORESTER";20000;2;7
"76";269000;2011;"SUBARU";"OUTBACK";64000;2,5;7
"77";69950;2006;"SUBARU";"IMPREZA";226112;2;7
"78";149990;2009;"SUBARU";"FORESTER";170000;2,5;8
"79";269900;2013;"SUBARU";"XV";55347;2;8
"80";249950;2013;"SUBARU";"XV";62217;2;8
"81";207950;2010;"SUBARU";"OUTBACK";127653;2;8
"82";399950;2013;"SUBARU";"OUTBACK";42259;2;8
"83";224950;2010;"SUBARU";"FORESTER";113867;2,5;8
"84";59995;2003;"SUBARU";"FORESTER";145000;2,5;8
"85";159990;2011;"SUBARU";"IMPREZA";89683;2;8
"86";259000;2010;"SUBARU";"OUTBACK";80000;3,6;8
"87";529000;NA;"Sedan";NA;NA;3,6;8
"88";529000;NA;NA;NA;NA;2;8
"89";149990;2009;"SUBARU";"FORESTER";170000;2,5;9
"90";529000;NA;NA;NA;NA;3,6;9
"91";479000;NA;NA;NA;NA;NA;9
"92";539300;NA;NA;NA;NA;2;9
"93";462500;NA;NA;NA;NA;2,5;9
"94";419200;NA;NA;NA;NA;2,5;9
"95";385300;NA;NA;NA;NA;2,5;9
"96";349000;NA;NA;NA;NA;2;9
"97";629000;NA;"Sedan";NA;NA;2,5;9
"98";478400;NA;"Sedan";NA;NA;2;9
"99";478400;NA;"Sedan";NA;NA;2;9
"100";149990;2009;"SUBARU";"FORESTER";170000;2,5;10
"101";364600;NA;NA;NA;NA;2;10
"102";328600;NA;NA;NA;NA;2;10
"103";317300;NA;NA;NA;NA;2;10
"104";299900;2013;"SUBARU";"WRX";43000;2,5;10
"105";74950;2006;"SUBARU";"FORESTER";205000;2,5;10
"106";199000;2009;"SUBARU";"FORESTER";131000;2,5;10
