"";"Price";"Year";"Make";"Model";"Mileage";"Engine";"AutoTraderPage"
"1";279999;2014;"TOYOTA";"HILUX";22100;NA;1
"2";279999;2014;"TOYOTA";"HILUX";22100;NA;1
"3";109900;2012;"TOYOTA";"ETIOS";78000;NA;1
"4";164900;2013;"TOYOTA";"COROLLA";17000;NA;1
"5";209995;2009;"TOYOTA";"FORTUNER";171000;3;1
"6";109995;2013;"TOYOTA";"ETIOS";27000;1,5;1
"7";445990;2015;"TOYOTA";"HILUX";9600;3;1
"8";249900;2011;"TOYOTA";"HILUX";86000;4;1
"9";379990;2014;"TOYOTA";"HILUX";25854;3;1
"10";219900;2011;"TOYOTA";"HILUX";228000;2,5;1
"11";299900;2012;"TOYOTA";"FORTUNER";110000;3;1
"12";279999;2014;"TOYOTA";"HILUX";22100;NA;2
"13";329900;2013;"TOYOTA";"HILUX";42000;2,5;2
"14";69995;2007;"TOYOTA";"YARIS";44056;1,3;2
"15";269900;2012;"TOYOTA";"HILUX";79000;3;2
"16";169950;2012;"TOYOTA";"HILUX";102715;2;2
"17";199950;2011;"TOYOTA";"HILUX";110000;2,5;2
"18";117900;2014;"TOYOTA";"ETIOS";49000;1,5;2
"19";119900;2010;"TOYOTA";"COROLLA";111000;1,3;2
"20";206990;2015;"TOYOTA";"AVANZA";20;NA;2
"21";409900;2014;"TOYOTA";"HILUX";15700;3;2
"22";68000;2011;"TOYOTA";"YARIS";69725;NA;2
"23";279999;2014;"TOYOTA";"HILUX";22100;NA;3
"24";62000;2008;"TOYOTA";"YARIS";76362;NA;3
"25";419950;2014;"TOYOTA";"HILUX";20010;3;3
"26";139800;2012;"TOYOTA";"COROLLA";58000;1,3;3
"27";65900;2007;"TOYOTA";"YARIS";94000;NA;3
"28";219900;2009;"TOYOTA";"FORTUNER";144500;3;3
"29";349800;2011;"TOYOTA";"FJ";68255;4;3
"30";89990;2000;"TOYOTA";"HILUX";245000;3;3
"31";174995;2012;"TOYOTA";"HILUX";114416;2,5;3
"32";124995;2011;"TOYOTA";"COROLLA";110500;1,3;3
"33";129990;2010;"TOYOTA";"COROLLA";121000;1,6;3
"34";279999;2014;"TOYOTA";"HILUX";22100;NA;4
"35";166000;2008;"TOYOTA";"FORTUNER";131200;4;4
"36";142000;2012;"TOYOTA";"HILUX";89500;2;4
"37";169995;2013;"TOYOTA";"COROLLA";67500;1,6;4
