"";"Price";"Year";"Make";"Model";"Mileage";"Engine";"AutoTraderPage"
"1";179900;2005;"VOLKSWAGEN";"TOUAREG";137872;5;1
"2";219900;2014;"VOLKSWAGEN";"POLO";35026;NA;1
"3";129000;2013;"VOLKSWAGEN";"POLO";81420;1,4;1
"4";579900;2013;"VOLKSWAGEN";"TOUAREG";68000;3;1
"5";139995;2014;"VOLKSWAGEN";"POLO";26538;NA;1
"6";149990;2011;"VOLKSWAGEN";"GOLF";113000;1,4;1
"7";349900;2011;"VOLKSWAGEN";"AMAROK";87000;2;1
"8";295800;2012;"VOLKSWAGEN";"AMAROK";124595;2;1
"9";179995;2015;"VOLKSWAGEN";"POLO";18176;1,2;1
"10";109950;2012;"VOLKSWAGEN";"POLO";73000;1,4;1
"11";199995;2014;"VOLKSWAGEN";"POLO";37000;1,2;1
"12";179900;2005;"VOLKSWAGEN";"TOUAREG";137872;5;2
"13";219950;2007;"VOLKSWAGEN";"TOUAREG";197193;NA;2
"14";169995;2014;"VOLKSWAGEN";"POLO";43000;NA;2
"15";209995;2015;"VOLKSWAGEN";"POLO";500;NA;2
"16";159995;2014;"VOLKSWAGEN";"POLO";25996;1,4;2
"17";119950;2012;"VOLKSWAGEN";"POLO";28000;1,4;2
"18";167995;2015;"VOLKSWAGEN";"POLO";6501;1,6;2
"19";359900;2014;"VOLKSWAGEN";"GOLF";14000;NA;2
"20";134000;2011;"VOLKSWAGEN";"POLO";70000;1,4;2
"21";129995;2014;"VOLKSWAGEN";"POLO";NA;1,4;2
"22";164800;2011;"VOLKSWAGEN";"GOLF";91667;1,4;2
"23";179900;2005;"VOLKSWAGEN";"TOUAREG";137872;5;3
"24";139900;2011;"VOLKSWAGEN";"POLO";81000;1,4;3
"25";849995;2015;"VOLKSWAGEN";"TOUAREG";5200;3;3
"26";849995;2015;"VOLKSWAGEN";"TOUAREG";5200;3;3
"27";234995;2010;"VOLKSWAGEN";"GOLF";113000;2;3
"28";239900;2010;"VOLKSWAGEN";"GOLF";106920;2;3
"29";129900;2013;"VOLKSWAGEN";"POLO";40000;1,6;3
"30";64900;2004;"VOLKSWAGEN";"POLO";220000;1,9;3
"31";104900;2011;"VOLKSWAGEN";"POLO";90612;NA;3
"32";379990;2012;"VOLKSWAGEN";"GOLF";46400;NA;3
"33";324500;2012;"VOLKSWAGEN";"CC";58000;NA;3
"34";179900;2005;"VOLKSWAGEN";"TOUAREG";137872;5;4
"35";209500;2011;"VOLKSWAGEN";"POLO";40000;NA;4
"36";209990;2014;"VOLKSWAGEN";"POLO";7872;NA;4
"37";125000;2015;"VOLKSWAGEN";"UP!";150;NA;4
