"";"Price";"Year";"Make";"Model";"Mileage";"Engine";"AutoTraderPage"
"1";376900;2015;"VOLVO";"S60";1000;NA;1
"2";453087;2015;"VOLVO";"V40";NA;NA;1
"3";204900;2011;"VOLVO";"S60";89000;NA;1
"4";164800;2011;"VOLVO";"C30";73266;1,6;1
"5";189950;2010;"VOLVO";"S40";69000;2;1
"6";369900;2015;"VOLVO";"V40";6900;NA;1
"7";128900;2004;"VOLVO";"XC70";157000;NA;1
"8";299990;2011;"VOLVO";"XC60";57000;2;1
"9";45000;2002;"VOLVO";"C70";237928;2;1
"10";309900;2013;"VOLVO";"S60";44320;2;1
"11";179500;2011;"VOLVO";"S60";75270;2;1
"12";376900;2015;"VOLVO";"S60";1000;NA;2
"13";189900;2011;"VOLVO";"S60";75000;2;2
"14";180000;2007;"VOLVO";"C70";51000;NA;2
"15";129900;2008;"VOLVO";"S40";65500;NA;2
"16";395900;2015;"VOLVO";"V40";150;NA;2
"17";409900;2015;"VOLVO";"V40";1500;NA;2
"18";359900;2013;"VOLVO";"S60";16000;NA;2
"19";159900;2011;"VOLVO";"C30";118000;NA;2
"20";359900;2015;"VOLVO";"S60";16500;NA;2
"21";205900;2012;"VOLVO";"S60";75000;2;2
"22";189995;2008;"VOLVO";"XC90";88000;3,2;2
"23";376900;2015;"VOLVO";"S60";1000;NA;3
"24";169995;2012;"VOLVO";"S60";134000;2;3
"25";59950;2005;"VOLVO";"S60";2e+05;2;3
"26";384900;2015;"VOLVO";"V40";1000;NA;3
"27";459900;2015;"VOLVO";"V40";1000;NA;3
"28";549900;2015;"VOLVO";"XC60";1000;NA;3
"29";559900;2015;"VOLVO";"XC60";1000;NA;3
"30";149900;2010;"VOLVO";"C30";80500;NA;3
"31";82995;2006;"VOLVO";"S40";112000;1,8;3
"32";70000;2004;"VOLVO";"S40";231000;NA;3
"33";89000;2006;"VOLVO";"S40";94000;NA;3
"34";376900;2015;"VOLVO";"S60";1000;NA;4
"35";147300;2007;"VOLVO";"XC90";192000;NA;4
"36";199900;2013;"VOLVO";"C30";46326;NA;4
"37";265900;2013;"VOLVO";"V40";43000;NA;4
"38";299000;2010;"VOLVO";"XC60";59000;NA;4
"39";129900;2008;"VOLVO";"S40";123600;NA;4
"40";195000;2011;"VOLVO";"XC60";96678;NA;4
"41";99950;2005;"VOLVO";"S40";50144;2,5;4
"42";45000;2007;"VOLVO";"S60";302000;NA;4
